feature,logreg_coef,rf_importance
u_0,0.0,0.0
u_1,0.0,0.0
b_7_8,0.0,0.0
b_7_7,0.0,0.0
b_7_6,0.0,0.0
b_7_5,0.0,0.0
b_7_4,0.0,0.0
b_7_3,0.0,0.0
b_7_2,0.0,0.0
b_7_1,0.0,0.0
b_7_0,0.0,0.0
b_6_9,0.0,0.0
b_6_8,0.0,0.0
b_6_7,0.0,0.0
b_6_6,0.0,0.0
b_6_5,0.0,0.0
b_6_4,0.0,0.0
b_6_3,0.0,0.0
b_6_2,0.0,0.0
b_6_1,0.0,0.0
b_6_0,0.0,0.0
b_5_9,0.0,0.0
b_5_8,0.0,0.0
b_5_7,0.0,0.0
b_5_6,0.0,0.0
b_5_5,0.0,0.0
b_5_4,0.0,0.0
b_5_3,0.0,0.0
b_5_2,0.0,0.0
b_7_9,0.0,0.0
b_8_0,0.0,0.0
b_8_1,0.0,0.0
b_9_6,0.0,0.0
entropy,0.0,0.0
length,0.0,0.0
n_brack_close,0.0,0.0
n_brack_open,0.0,0.0
n_paren_close,0.0,0.0
n_paren_open,0.0,0.0
n_semis,0.0,0.0
n_commas,0.0,0.0
n_newlines,0.0,0.0
b_9_9,0.0,0.0
b_9_8,0.0,0.0
b_9_7,0.0,0.0
b_9_5,0.0,0.0
b_8_2,0.0,0.0
b_9_4,0.0,0.0
b_9_3,0.0,0.0
b_9_2,0.0,0.0
