[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.723, 'grad_norm': 0.4482298195362091, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7467, 'grad_norm': 0.4568365812301636, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.61, 'grad_norm': 0.43898481130599976, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6775, 'grad_norm': 0.49295639991760254, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6558, 'grad_norm': 0.4617747664451599, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.618, 'grad_norm': 0.36547210812568665, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6489, 'grad_norm': 0.583938479423523, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6914, 'grad_norm': 0.621009886264801, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.7438, 'grad_norm': 0.46044981479644775, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6627, 'grad_norm': 0.3639412224292755, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6871, 'grad_norm': 0.26269009709358215, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5632, 'grad_norm': 0.20871718227863312, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.6514, 'grad_norm': 0.19788452982902527, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5209, 'grad_norm': 0.25077858567237854, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.6107, 'grad_norm': 0.24602851271629333, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.6019, 'grad_norm': 0.27545055747032166, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.6234, 'grad_norm': 0.37503090500831604, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.6729, 'grad_norm': 0.38115638494491577, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.6051, 'grad_norm': 0.292597234249115, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5385, 'grad_norm': 0.2783949375152588, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.6362, 'grad_norm': 0.28230997920036316, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5047, 'grad_norm': 0.21436335146427155, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.5741, 'grad_norm': 0.1880301833152771, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.6766, 'grad_norm': 0.1861690878868103, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.6379, 'grad_norm': 0.2350393682718277, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.6183, 'grad_norm': 0.23988747596740723, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.6596, 'grad_norm': 0.21679891645908356, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.6669, 'grad_norm': 0.21689976751804352, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.6716, 'grad_norm': 0.20891238749027252, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.5453, 'grad_norm': 0.2860508859157562, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.6235, 'grad_norm': 0.23857809603214264, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.6156, 'grad_norm': 0.2857542932033539, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.6401, 'grad_norm': 0.32447439432144165, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.4907, 'grad_norm': 0.20503897964954376, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.6375, 'grad_norm': 0.20724734663963318, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.5557, 'grad_norm': 0.19677037000656128, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.5333, 'grad_norm': 0.23757965862751007, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.5125, 'grad_norm': 0.1934521496295929, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.5986, 'grad_norm': 0.2071116864681244, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
