[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7017, 'grad_norm': 0.48449674248695374, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7247, 'grad_norm': 0.4871569573879242, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.7056, 'grad_norm': 0.4988758862018585, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6649, 'grad_norm': 0.4589645266532898, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.7051, 'grad_norm': 0.5218437910079956, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5583, 'grad_norm': 0.3028157651424408, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6595, 'grad_norm': 0.4603840708732605, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.685, 'grad_norm': 0.4746295213699341, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6515, 'grad_norm': 0.44603627920150757, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6598, 'grad_norm': 0.30529680848121643, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5891, 'grad_norm': 0.27080389857292175, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.6252, 'grad_norm': 0.25167739391326904, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.6563, 'grad_norm': 0.21718300879001617, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.6669, 'grad_norm': 0.22650527954101562, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5889, 'grad_norm': 0.1961086392402649, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.6136, 'grad_norm': 0.2748490571975708, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5929, 'grad_norm': 0.34764933586120605, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.7004, 'grad_norm': 0.2949336767196655, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.6095, 'grad_norm': 0.29769763350486755, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5741, 'grad_norm': 0.2434631586074829, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.5508, 'grad_norm': 0.20485369861125946, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.558, 'grad_norm': 0.238162562251091, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.6254, 'grad_norm': 0.25803694128990173, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
