[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7532, 'grad_norm': 0.46653029322624207, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.686, 'grad_norm': 0.41331127285957336, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.7017, 'grad_norm': 0.4438473880290985, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.5775, 'grad_norm': 0.4422685503959656, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6248, 'grad_norm': 0.47474977374076843, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.6459, 'grad_norm': 0.31297123432159424, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.645, 'grad_norm': 0.5801342129707336, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6251, 'grad_norm': 0.508017897605896, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6854, 'grad_norm': 0.5065388679504395, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6114, 'grad_norm': 0.2981208562850952, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6177, 'grad_norm': 0.2575562298297882, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.6277, 'grad_norm': 0.18908226490020752, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.6965, 'grad_norm': 0.21285392343997955, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5663, 'grad_norm': 0.2551348805427551, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.6398, 'grad_norm': 0.21974578499794006, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5613, 'grad_norm': 0.2349535971879959, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5697, 'grad_norm': 0.23726359009742737, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.6547, 'grad_norm': 0.3057812452316284, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.6386, 'grad_norm': 0.2168339192867279, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5443, 'grad_norm': 0.25077345967292786, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.6301, 'grad_norm': 0.23335620760917664, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.6464, 'grad_norm': 0.20849359035491943, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.578, 'grad_norm': 0.18288777768611908, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5403, 'grad_norm': 0.20856066048145294, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.6547, 'grad_norm': 0.19585280120372772, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.5537, 'grad_norm': 0.2045660763978958, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.5816, 'grad_norm': 0.19638340175151825, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.6123, 'grad_norm': 0.1853490024805069, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5541, 'grad_norm': 0.20100440084934235, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.5646, 'grad_norm': 0.1912289261817932, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.5692, 'grad_norm': 0.21253278851509094, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.6019, 'grad_norm': 0.20795011520385742, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.5917, 'grad_norm': 0.2066117525100708, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.6373, 'grad_norm': 0.22134603559970856, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.6014, 'grad_norm': 0.23331710696220398, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.5649, 'grad_norm': 0.21368078887462616, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.6148, 'grad_norm': 0.2241203486919403, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.5898, 'grad_norm': 0.17166253924369812, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.5787, 'grad_norm': 0.2066641002893448, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.6323, 'grad_norm': 0.22069457173347473, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
