[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7359, 'grad_norm': 0.4873550534248352, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7159, 'grad_norm': 0.4315805435180664, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6639, 'grad_norm': 0.41290053725242615, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.7616, 'grad_norm': 0.4875361919403076, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6931, 'grad_norm': 0.4650897681713104, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.604, 'grad_norm': 0.3702632784843445, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.7284, 'grad_norm': 0.6172228455543518, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6636, 'grad_norm': 0.5478371381759644, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.7008, 'grad_norm': 0.517778754234314, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6793, 'grad_norm': 0.35417452454566956, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6575, 'grad_norm': 0.2927747964859009, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5397, 'grad_norm': 0.2288319617509842, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.693, 'grad_norm': 0.1753668338060379, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.6357, 'grad_norm': 0.2035384327173233, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.6143, 'grad_norm': 0.19409120082855225, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5855, 'grad_norm': 0.24090628325939178, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5044, 'grad_norm': 0.2733498513698578, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.6155, 'grad_norm': 0.3259572684764862, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.607, 'grad_norm': 0.2864050567150116, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
