[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4258, 'grad_norm': 0.451872855424881, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3847, 'grad_norm': 0.4915575683116913, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3238, 'grad_norm': 0.5218597650527954, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4572, 'grad_norm': 0.5402481555938721, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3557, 'grad_norm': 0.5108185410499573, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3122, 'grad_norm': 0.4527364671230316, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4017, 'grad_norm': 0.696887731552124, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3371, 'grad_norm': 0.6592896580696106, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3042, 'grad_norm': 0.33319634199142456, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3415, 'grad_norm': 0.31197410821914673, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3159, 'grad_norm': 0.25277698040008545, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.2971, 'grad_norm': 0.23358219861984253, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3303, 'grad_norm': 0.2517728805541992, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3107, 'grad_norm': 0.17638927698135376, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.2578, 'grad_norm': 0.23508091270923615, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3305, 'grad_norm': 0.23866911232471466, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3252, 'grad_norm': 0.29855066537857056, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.359, 'grad_norm': 0.4655235707759857, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.2558, 'grad_norm': 0.19953441619873047, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.277, 'grad_norm': 0.1980011910200119, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.2697, 'grad_norm': 0.17020316421985626, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3345, 'grad_norm': 0.2088761180639267, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2511, 'grad_norm': 0.2059880942106247, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.2841, 'grad_norm': 0.17769873142242432, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.2776, 'grad_norm': 0.2041088044643402, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2749, 'grad_norm': 0.19722802937030792, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2927, 'grad_norm': 0.2073759287595749, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3368, 'grad_norm': 0.18002980947494507, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.2561, 'grad_norm': 0.1679815798997879, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3304, 'grad_norm': 0.21678417921066284, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.2956, 'grad_norm': 0.2465277761220932, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.2554, 'grad_norm': 0.22667494416236877, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2601, 'grad_norm': 0.18929104506969452, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2425, 'grad_norm': 0.20393499732017517, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.255, 'grad_norm': 0.19617703557014465, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.275, 'grad_norm': 0.20745331048965454, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3104, 'grad_norm': 0.22373798489570618, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.2244, 'grad_norm': 0.198965921998024, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.214, 'grad_norm': 0.18496575951576233, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
