[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3873, 'grad_norm': 0.46551838517189026, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4251, 'grad_norm': 0.5694802403450012, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3799, 'grad_norm': 0.5511758923530579, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3781, 'grad_norm': 0.5678614377975464, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4153, 'grad_norm': 0.4938865602016449, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3113, 'grad_norm': 0.5515781044960022, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.2835, 'grad_norm': 0.6049731373786926, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3105, 'grad_norm': 0.4388887286186218, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.343, 'grad_norm': 0.4223647713661194, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.2799, 'grad_norm': 0.2786274552345276, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.308, 'grad_norm': 0.34890204668045044, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3024, 'grad_norm': 0.28493478894233704, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.2702, 'grad_norm': 0.21991606056690216, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.2722, 'grad_norm': 0.28292834758758545, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3014, 'grad_norm': 0.39662420749664307, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.2479, 'grad_norm': 0.2762695848941803, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.2921, 'grad_norm': 0.295814573764801, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.344, 'grad_norm': 0.36199888586997986, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3188, 'grad_norm': 0.49443772435188293, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.2587, 'grad_norm': 0.2905687093734741, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.2716, 'grad_norm': 0.20836776494979858, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.2639, 'grad_norm': 0.18507681787014008, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2546, 'grad_norm': 0.22207340598106384, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.2854, 'grad_norm': 0.19056926667690277, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.2777, 'grad_norm': 0.18839436769485474, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3186, 'grad_norm': 0.211426243185997, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2501, 'grad_norm': 0.16320110857486725, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.2933, 'grad_norm': 0.22677583992481232, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.2741, 'grad_norm': 0.18616394698619843, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.2554, 'grad_norm': 0.17304636538028717, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.2769, 'grad_norm': 0.18713147938251495, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.2606, 'grad_norm': 0.2082291543483734, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.255, 'grad_norm': 0.2054939717054367, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2926, 'grad_norm': 0.20001032948493958, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.2907, 'grad_norm': 0.23146149516105652, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.2862, 'grad_norm': 0.23105889558792114, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.2744, 'grad_norm': 0.21257427334785461, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.267, 'grad_norm': 0.19077952206134796, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.2677, 'grad_norm': 0.16318213939666748, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.2779, 'grad_norm': 0.18379926681518555, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.2868, 'grad_norm': 0.21173304319381714, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.2319, 'grad_norm': 0.1934305727481842, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.2802, 'grad_norm': 0.20559445023536682, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.2814, 'grad_norm': 0.24310302734375, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.3292, 'grad_norm': 0.21324029564857483, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.2199, 'grad_norm': 0.16196665167808533, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2999, 'grad_norm': 0.18474112451076508, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.2633, 'grad_norm': 0.2256518304347992, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.3272, 'grad_norm': 0.22947949171066284, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.2452, 'grad_norm': 0.18648740649223328, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.2856, 'grad_norm': 0.20489604771137238, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.2498, 'grad_norm': 0.19204449653625488, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.2611, 'grad_norm': 0.19409698247909546, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.2539, 'grad_norm': 0.20304842293262482, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.2385, 'grad_norm': 0.19569961726665497, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.2742, 'grad_norm': 0.20624659955501556, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.2705, 'grad_norm': 0.19718047976493835, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.2304, 'grad_norm': 0.18537768721580505, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
