[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.409, 'grad_norm': 0.46838295459747314, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3237, 'grad_norm': 0.4882669448852539, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4313, 'grad_norm': 0.518561065196991, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4341, 'grad_norm': 0.5619401931762695, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.379, 'grad_norm': 0.5633923411369324, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3202, 'grad_norm': 0.49990901350975037, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3684, 'grad_norm': 0.7271110415458679, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3655, 'grad_norm': 0.5020856261253357, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3783, 'grad_norm': 0.4199385941028595, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3218, 'grad_norm': 0.3286699056625366, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3481, 'grad_norm': 0.23343752324581146, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.2882, 'grad_norm': 0.20750728249549866, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3114, 'grad_norm': 0.2161577343940735, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3162, 'grad_norm': 0.2048332244157791, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.2541, 'grad_norm': 0.18796901404857635, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3021, 'grad_norm': 0.22131139039993286, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.298, 'grad_norm': 0.25994202494621277, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.2439, 'grad_norm': 0.30950838327407837, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.341, 'grad_norm': 0.4070209562778473, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.2916, 'grad_norm': 0.26015058159828186, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3226, 'grad_norm': 0.260281503200531, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3351, 'grad_norm': 0.3303385078907013, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2613, 'grad_norm': 0.200595885515213, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3114, 'grad_norm': 0.20864637196063995, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.296, 'grad_norm': 0.2135876566171646, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2715, 'grad_norm': 0.1536523550748825, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2993, 'grad_norm': 0.18066073954105377, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.2488, 'grad_norm': 0.199688121676445, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.26, 'grad_norm': 0.20078861713409424, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.2396, 'grad_norm': 0.19603678584098816, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.2523, 'grad_norm': 0.20709124207496643, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.2501, 'grad_norm': 0.19212861359119415, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2471, 'grad_norm': 0.17495670914649963, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2833, 'grad_norm': 0.16860201954841614, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.2789, 'grad_norm': 0.2712453305721283, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.2361, 'grad_norm': 0.19713442027568817, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.2217, 'grad_norm': 0.1744164526462555, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.2524, 'grad_norm': 0.24352310597896576, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.2593, 'grad_norm': 0.2528853118419647, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.2925, 'grad_norm': 0.25752201676368713, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.2552, 'grad_norm': 0.18218806385993958, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.3007, 'grad_norm': 0.18973354995250702, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.2814, 'grad_norm': 0.1927938163280487, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.3185, 'grad_norm': 0.22966013848781586, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.2566, 'grad_norm': 0.19335675239562988, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.2441, 'grad_norm': 0.17589470744132996, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2613, 'grad_norm': 0.16755355894565582, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.3093, 'grad_norm': 0.18308015167713165, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.2629, 'grad_norm': 0.17239412665367126, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.2552, 'grad_norm': 0.1666586995124817, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.3, 'grad_norm': 0.22100701928138733, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.2134, 'grad_norm': 0.1984787881374359, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.3453, 'grad_norm': 0.22270694375038147, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.3133, 'grad_norm': 0.1979658454656601, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.2526, 'grad_norm': 0.17255830764770508, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.2665, 'grad_norm': 0.17566969990730286, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.2976, 'grad_norm': 0.1882786899805069, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.2658, 'grad_norm': 0.18830834329128265, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.2914, 'grad_norm': 0.2122831791639328, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.3161, 'grad_norm': 0.2176094651222229, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.2491, 'grad_norm': 0.20479124784469604, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.293, 'grad_norm': 0.2265310287475586, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.3122, 'grad_norm': 0.21231620013713837, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.2589, 'grad_norm': 0.2041652351617813, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.2863, 'grad_norm': 0.201210618019104, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.2591, 'grad_norm': 0.16621272265911102, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.2382, 'grad_norm': 0.21424275636672974, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.2896, 'grad_norm': 0.21140210330486298, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.3025, 'grad_norm': 0.19616441428661346, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.2604, 'grad_norm': 0.16033168137073517, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.2831, 'grad_norm': 0.18603335320949554, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.2961, 'grad_norm': 0.2034965455532074, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.2683, 'grad_norm': 0.2100251019001007, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.2843, 'grad_norm': 0.23072722554206848, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.2567, 'grad_norm': 0.20758336782455444, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.259, 'grad_norm': 0.18652841448783875, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.2937, 'grad_norm': 0.2636529505252838, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.2476, 'grad_norm': 0.21115896105766296, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.3374, 'grad_norm': 0.21893833577632904, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.2751, 'grad_norm': 0.22376102209091187, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.2473, 'grad_norm': 0.18885016441345215, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.2514, 'grad_norm': 0.21192553639411926, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.2974, 'grad_norm': 0.19820523262023926, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.2756, 'grad_norm': 0.19196072220802307, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.282, 'grad_norm': 0.20516696572303772, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.2746, 'grad_norm': 0.19153167307376862, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.2775, 'grad_norm': 0.20544418692588806, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
