[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3569, 'grad_norm': 0.4576781094074249, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3609, 'grad_norm': 0.4067687392234802, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4541, 'grad_norm': 0.49640852212905884, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3523, 'grad_norm': 0.4445355236530304, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3581, 'grad_norm': 0.4535476863384247, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3164, 'grad_norm': 0.38614824414253235, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4079, 'grad_norm': 0.6514631509780884, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3838, 'grad_norm': 0.4692366421222687, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3291, 'grad_norm': 0.3512784540653229, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.399, 'grad_norm': 0.36957091093063354, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.318, 'grad_norm': 0.2883901596069336, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3375, 'grad_norm': 0.2228562980890274, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.2972, 'grad_norm': 0.2105112373828888, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3278, 'grad_norm': 0.18992961943149567, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.223, 'grad_norm': 0.1492927521467209, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.2741, 'grad_norm': 0.1612071990966797, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.2357, 'grad_norm': 0.22405169904232025, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
