[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3853, 'grad_norm': 0.4678763151168823, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3915, 'grad_norm': 0.36965256929397583, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3522, 'grad_norm': 0.3967558741569519, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3298, 'grad_norm': 0.5641217827796936, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3256, 'grad_norm': 0.46094727516174316, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3389, 'grad_norm': 0.40064123272895813, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3912, 'grad_norm': 0.44548484683036804, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4092, 'grad_norm': 0.5800766348838806, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3408, 'grad_norm': 0.3546367287635803, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3079, 'grad_norm': 0.2702067494392395, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3242, 'grad_norm': 0.2448423206806183, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3563, 'grad_norm': 0.21013681590557098, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.2788, 'grad_norm': 0.16581077873706818, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3488, 'grad_norm': 0.17126086354255676, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.281, 'grad_norm': 0.1649400144815445, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.2588, 'grad_norm': 0.21210871636867523, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3084, 'grad_norm': 0.1834203600883484, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3049, 'grad_norm': 0.21361027657985687, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
