[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4153, 'grad_norm': 0.4380451738834381, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.37, 'grad_norm': 0.39144760370254517, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.409, 'grad_norm': 0.40184250473976135, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4299, 'grad_norm': 0.4416762888431549, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3784, 'grad_norm': 0.4984860122203827, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3291, 'grad_norm': 0.3546021282672882, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4063, 'grad_norm': 0.5333073139190674, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4168, 'grad_norm': 0.4633474349975586, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3421, 'grad_norm': 0.3610731363296509, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3201, 'grad_norm': 0.28707724809646606, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3243, 'grad_norm': 0.23979780077934265, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3088, 'grad_norm': 0.16819651424884796, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.2828, 'grad_norm': 0.1870555728673935, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3483, 'grad_norm': 0.18774594366550446, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.281, 'grad_norm': 0.16966916620731354, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3672, 'grad_norm': 0.17437317967414856, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3089, 'grad_norm': 0.17099601030349731, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3143, 'grad_norm': 0.22082339227199554, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3481, 'grad_norm': 0.36271238327026367, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.2418, 'grad_norm': 0.1712673306465149, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3103, 'grad_norm': 0.17705905437469482, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3141, 'grad_norm': 0.20687712728977203, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3487, 'grad_norm': 0.24421119689941406, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.2988, 'grad_norm': 0.21852049231529236, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3697, 'grad_norm': 0.1952744424343109, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2924, 'grad_norm': 0.19407838582992554, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.338, 'grad_norm': 0.20340944826602936, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3231, 'grad_norm': 0.20677268505096436, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3008, 'grad_norm': 0.21059434115886688, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.2925, 'grad_norm': 0.17364567518234253, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.286, 'grad_norm': 0.17130112648010254, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.2792, 'grad_norm': 0.19976040720939636, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2841, 'grad_norm': 0.18454237282276154, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.292, 'grad_norm': 0.192277193069458, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.3688, 'grad_norm': 0.20722845196723938, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.2752, 'grad_norm': 0.16221089661121368, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.2545, 'grad_norm': 0.1660301685333252, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.3453, 'grad_norm': 0.22746853530406952, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.3338, 'grad_norm': 0.20154890418052673, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.2831, 'grad_norm': 0.1483525037765503, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.3284, 'grad_norm': 0.1590949296951294, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.285, 'grad_norm': 0.19283916056156158, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.3264, 'grad_norm': 0.15241335332393646, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.2743, 'grad_norm': 0.16774572432041168, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.3601, 'grad_norm': 0.176658496260643, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.3114, 'grad_norm': 0.16732080280780792, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2419, 'grad_norm': 0.16273562610149384, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.3673, 'grad_norm': 0.1942634880542755, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.3279, 'grad_norm': 0.19676817953586578, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.3124, 'grad_norm': 0.19781795144081116, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.3193, 'grad_norm': 0.175480917096138, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.3122, 'grad_norm': 0.20161697268486023, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.2404, 'grad_norm': 0.16721701622009277, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.2885, 'grad_norm': 0.16361811757087708, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.355, 'grad_norm': 0.18607431650161743, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.2979, 'grad_norm': 0.16971242427825928, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.2713, 'grad_norm': 0.20001359283924103, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.2939, 'grad_norm': 0.18086162209510803, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.2599, 'grad_norm': 0.17702141404151917, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.275, 'grad_norm': 0.17723225057125092, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.2697, 'grad_norm': 0.1581987887620926, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.2902, 'grad_norm': 0.2323032021522522, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.2539, 'grad_norm': 0.1708647608757019, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.3074, 'grad_norm': 0.1811560094356537, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.2952, 'grad_norm': 0.21664316952228546, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.2513, 'grad_norm': 0.18616385757923126, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.2647, 'grad_norm': 0.17175087332725525, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.3124, 'grad_norm': 0.181362122297287, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.2634, 'grad_norm': 0.15664047002792358, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.3068, 'grad_norm': 0.19940511882305145, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.2841, 'grad_norm': 0.18181417882442474, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.3125, 'grad_norm': 0.163752943277359, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.3201, 'grad_norm': 0.2010621428489685, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.2998, 'grad_norm': 0.1803215742111206, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.2711, 'grad_norm': 0.1740758717060089, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.3177, 'grad_norm': 0.14016619324684143, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.3177, 'grad_norm': 0.178401380777359, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.2688, 'grad_norm': 0.15318769216537476, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.3012, 'grad_norm': 0.15109407901763916, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.3251, 'grad_norm': 0.16031821072101593, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.2902, 'grad_norm': 0.16161105036735535, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.2907, 'grad_norm': 0.1570792943239212, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.305, 'grad_norm': 0.18071399629116058, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.2273, 'grad_norm': 0.1429828554391861, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.278, 'grad_norm': 0.1576312780380249, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.3195, 'grad_norm': 0.18506431579589844, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.2656, 'grad_norm': 0.16583654284477234, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
{'loss': 0.3074, 'grad_norm': 0.19041451811790466, 'learning_rate': 0.00016363636363636366, 'epoch': 0.58}
{'loss': 0.2895, 'grad_norm': 0.17443408071994781, 'learning_rate': 0.0001631929046563193, 'epoch': 0.59}
{'loss': 0.2872, 'grad_norm': 0.1653999239206314, 'learning_rate': 0.00016274944567627495, 'epoch': 0.59}
{'loss': 0.2781, 'grad_norm': 0.152334064245224, 'learning_rate': 0.0001623059866962306, 'epoch': 0.6}
{'loss': 0.2597, 'grad_norm': 0.1491394191980362, 'learning_rate': 0.00016186252771618626, 'epoch': 0.61}
{'loss': 0.286, 'grad_norm': 0.16031745076179504, 'learning_rate': 0.0001614190687361419, 'epoch': 0.61}
