[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4708, 'grad_norm': 0.5475959181785583, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4056, 'grad_norm': 0.47814521193504333, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4867, 'grad_norm': 0.5169915556907654, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3699, 'grad_norm': 0.45421209931373596, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4236, 'grad_norm': 0.5367310643196106, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3973, 'grad_norm': 0.4022199213504791, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4792, 'grad_norm': 0.6015897989273071, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3613, 'grad_norm': 0.5001360177993774, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4508, 'grad_norm': 0.41001275181770325, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3695, 'grad_norm': 0.37332841753959656, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3666, 'grad_norm': 0.2619169056415558, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3725, 'grad_norm': 0.23472878336906433, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3858, 'grad_norm': 0.21614202857017517, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3574, 'grad_norm': 0.15984712541103363, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3466, 'grad_norm': 0.22002650797367096, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3904, 'grad_norm': 0.2696690559387207, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.4095, 'grad_norm': 0.3148116171360016, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3338, 'grad_norm': 0.23310476541519165, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3141, 'grad_norm': 0.2151201069355011, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3112, 'grad_norm': 0.27830833196640015, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3095, 'grad_norm': 0.2324766218662262, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3344, 'grad_norm': 0.2665726840496063, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2934, 'grad_norm': 0.19196636974811554, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3559, 'grad_norm': 0.23850537836551666, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4264, 'grad_norm': 0.2493046522140503, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3438, 'grad_norm': 0.22576387226581573, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.3509, 'grad_norm': 0.21885408461093903, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.314, 'grad_norm': 0.22104118764400482, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3358, 'grad_norm': 0.18501009047031403, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3431, 'grad_norm': 0.19108332693576813, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3206, 'grad_norm': 0.18171507120132446, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.313, 'grad_norm': 0.1556989997625351, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.3491, 'grad_norm': 0.1797335147857666, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
