[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4228, 'grad_norm': 0.4699910283088684, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.5449, 'grad_norm': 0.6086575984954834, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4653, 'grad_norm': 0.4749186336994171, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3298, 'grad_norm': 0.4225427210330963, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4157, 'grad_norm': 0.5758847594261169, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.4489, 'grad_norm': 0.4583676755428314, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3662, 'grad_norm': 0.4727129638195038, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4956, 'grad_norm': 0.5388777852058411, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4223, 'grad_norm': 0.43956074118614197, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3886, 'grad_norm': 0.3507865071296692, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3944, 'grad_norm': 0.22162503004074097, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.4003, 'grad_norm': 0.26313626766204834, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.4066, 'grad_norm': 0.22556248307228088, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3576, 'grad_norm': 0.15512146055698395, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3264, 'grad_norm': 0.19484660029411316, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.4101, 'grad_norm': 0.2184257209300995, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3763, 'grad_norm': 0.25043314695358276, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3536, 'grad_norm': 0.25331780314445496, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3776, 'grad_norm': 0.2923549711704254, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3269, 'grad_norm': 0.20735149085521698, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3973, 'grad_norm': 0.3314196467399597, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3542, 'grad_norm': 0.18956796824932098, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3232, 'grad_norm': 0.2142874300479889, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3631, 'grad_norm': 0.20491185784339905, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3215, 'grad_norm': 0.21061784029006958, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3751, 'grad_norm': 0.2053648680448532, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.3287, 'grad_norm': 0.19266997277736664, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3522, 'grad_norm': 0.187741219997406, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.309, 'grad_norm': 0.1970442682504654, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.366, 'grad_norm': 0.16694873571395874, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3124, 'grad_norm': 0.18306739628314972, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.3495, 'grad_norm': 0.17998534440994263, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.366, 'grad_norm': 0.20970182120800018, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.3181, 'grad_norm': 0.17895428836345673, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.4087, 'grad_norm': 0.2696317136287689, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.3169, 'grad_norm': 0.1926208883523941, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3538, 'grad_norm': 0.1939019411802292, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.3771, 'grad_norm': 0.2071915864944458, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.4079, 'grad_norm': 0.20447570085525513, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.3299, 'grad_norm': 0.20054106414318085, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.3337, 'grad_norm': 0.24245585501194, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.3271, 'grad_norm': 0.21697209775447845, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.3853, 'grad_norm': 0.20946472883224487, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.3945, 'grad_norm': 0.19996437430381775, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.284, 'grad_norm': 0.19289250671863556, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.3668, 'grad_norm': 0.20485462248325348, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.397, 'grad_norm': 0.20078809559345245, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.3385, 'grad_norm': 0.19908466935157776, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.3328, 'grad_norm': 0.20416539907455444, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.3882, 'grad_norm': 0.2356523722410202, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.3509, 'grad_norm': 0.1642826348543167, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.295, 'grad_norm': 0.17155274748802185, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.3344, 'grad_norm': 0.17257389426231384, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.3349, 'grad_norm': 0.19512605667114258, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.3328, 'grad_norm': 0.19799324870109558, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.3526, 'grad_norm': 0.2040710300207138, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.2954, 'grad_norm': 0.2039063423871994, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.4016, 'grad_norm': 0.22609244287014008, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.4039, 'grad_norm': 0.20121601223945618, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.3355, 'grad_norm': 0.2233668714761734, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.3324, 'grad_norm': 0.1902388632297516, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.3004, 'grad_norm': 0.18511611223220825, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.3456, 'grad_norm': 0.21765054762363434, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.4199, 'grad_norm': 0.21425141394138336, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.2939, 'grad_norm': 0.17692193388938904, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.3466, 'grad_norm': 0.21216298639774323, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.3418, 'grad_norm': 0.19260768592357635, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.316, 'grad_norm': 0.17175990343093872, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.3519, 'grad_norm': 0.21804247796535492, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.3061, 'grad_norm': 0.22914020717144012, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.3012, 'grad_norm': 0.19698399305343628, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.3189, 'grad_norm': 0.20583771169185638, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.3772, 'grad_norm': 0.21975280344486237, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.377, 'grad_norm': 0.2316705584526062, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.4381, 'grad_norm': 0.23574097454547882, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.3481, 'grad_norm': 0.23481662571430206, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.351, 'grad_norm': 0.24663157761096954, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.3435, 'grad_norm': 0.22935403883457184, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.3487, 'grad_norm': 0.19319520890712738, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.3524, 'grad_norm': 0.25078439712524414, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.3717, 'grad_norm': 0.21723827719688416, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.3185, 'grad_norm': 0.2153184562921524, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.3737, 'grad_norm': 0.2099052518606186, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.3273, 'grad_norm': 0.20928728580474854, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.2886, 'grad_norm': 0.16341815888881683, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.3701, 'grad_norm': 0.208344966173172, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.329, 'grad_norm': 0.17921802401542664, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
{'loss': 0.2807, 'grad_norm': 0.21688082814216614, 'learning_rate': 0.00016363636363636366, 'epoch': 0.58}
{'loss': 0.3316, 'grad_norm': 0.20357023179531097, 'learning_rate': 0.0001631929046563193, 'epoch': 0.59}
{'loss': 0.2603, 'grad_norm': 0.16566036641597748, 'learning_rate': 0.00016274944567627495, 'epoch': 0.59}
{'loss': 0.3176, 'grad_norm': 0.1847967952489853, 'learning_rate': 0.0001623059866962306, 'epoch': 0.6}
{'loss': 0.3315, 'grad_norm': 0.23542439937591553, 'learning_rate': 0.00016186252771618626, 'epoch': 0.61}
{'loss': 0.4274, 'grad_norm': 0.19526807963848114, 'learning_rate': 0.0001614190687361419, 'epoch': 0.61}
{'loss': 0.3478, 'grad_norm': 0.17854496836662292, 'learning_rate': 0.00016097560975609758, 'epoch': 0.62}
{'loss': 0.3475, 'grad_norm': 0.21311432123184204, 'learning_rate': 0.00016053215077605322, 'epoch': 0.63}
{'loss': 0.3392, 'grad_norm': 0.19373932480812073, 'learning_rate': 0.00016008869179600887, 'epoch': 0.63}
{'loss': 0.3275, 'grad_norm': 0.1978471726179123, 'learning_rate': 0.00015964523281596454, 'epoch': 0.64}
{'loss': 0.3722, 'grad_norm': 0.19380374252796173, 'learning_rate': 0.00015920177383592018, 'epoch': 0.65}
{'loss': 0.335, 'grad_norm': 0.23005864024162292, 'learning_rate': 0.00015875831485587586, 'epoch': 0.65}
{'loss': 0.3091, 'grad_norm': 0.17885702848434448, 'learning_rate': 0.0001583148558758315, 'epoch': 0.66}
{'loss': 0.3211, 'grad_norm': 0.1818542629480362, 'learning_rate': 0.00015787139689578714, 'epoch': 0.67}
{'loss': 0.3364, 'grad_norm': 0.17825783789157867, 'learning_rate': 0.0001574279379157428, 'epoch': 0.67}
{'loss': 0.3794, 'grad_norm': 0.18244409561157227, 'learning_rate': 0.00015698447893569846, 'epoch': 0.68}
{'loss': 0.3351, 'grad_norm': 0.18354326486587524, 'learning_rate': 0.0001565410199556541, 'epoch': 0.69}
{'loss': 0.3136, 'grad_norm': 0.2101026475429535, 'learning_rate': 0.00015609756097560978, 'epoch': 0.69}
{'loss': 0.2902, 'grad_norm': 0.2216857224702835, 'learning_rate': 0.00015565410199556542, 'epoch': 0.7}
{'loss': 0.3159, 'grad_norm': 0.2138904333114624, 'learning_rate': 0.00015521064301552106, 'epoch': 0.71}
{'loss': 0.3228, 'grad_norm': 0.19357560575008392, 'learning_rate': 0.0001547671840354767, 'epoch': 0.71}
