[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.5354, 'grad_norm': 0.5141024589538574, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.453, 'grad_norm': 0.44096964597702026, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3944, 'grad_norm': 0.4250465929508209, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3768, 'grad_norm': 0.45774295926094055, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3931, 'grad_norm': 0.5900489687919617, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.4172, 'grad_norm': 0.3708294928073883, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3949, 'grad_norm': 0.5461750626564026, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3071, 'grad_norm': 0.37539637088775635, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4426, 'grad_norm': 0.3895290493965149, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3686, 'grad_norm': 0.291785329580307, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.4177, 'grad_norm': 0.23173381388187408, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3247, 'grad_norm': 0.23561526834964752, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3791, 'grad_norm': 0.18651075661182404, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3466, 'grad_norm': 0.1902119517326355, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.357, 'grad_norm': 0.2069782167673111, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3425, 'grad_norm': 0.2448294758796692, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3075, 'grad_norm': 0.28269970417022705, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3595, 'grad_norm': 0.3246476650238037, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
