[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.8615, 'grad_norm': 0.970741868019104, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.7816, 'grad_norm': 1.0311353206634521, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.9843, 'grad_norm': 1.1334363222122192, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.8085, 'grad_norm': 1.0805716514587402, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.7385, 'grad_norm': 1.4285165071487427, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.3722, 'grad_norm': 1.6747440099716187, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.9509, 'grad_norm': 1.6737531423568726, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6476, 'grad_norm': 1.0379663705825806, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4608, 'grad_norm': 0.6002233624458313, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5454, 'grad_norm': 0.5421337485313416, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.4736, 'grad_norm': 0.6181501150131226, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.4485, 'grad_norm': 0.4020315706729889, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.4357, 'grad_norm': 0.3406915068626404, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4923, 'grad_norm': 0.37344950437545776, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3331, 'grad_norm': 0.29656335711479187, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3806, 'grad_norm': 0.30038225650787354, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3727, 'grad_norm': 0.435282438993454, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.4881, 'grad_norm': 0.4065290689468384, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.4585, 'grad_norm': 0.3204370439052582, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3935, 'grad_norm': 0.2528318166732788, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4371, 'grad_norm': 0.28686851263046265, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.4082, 'grad_norm': 0.21686966717243195, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.4109, 'grad_norm': 0.23551592230796814, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3957, 'grad_norm': 0.18783898651599884, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4497, 'grad_norm': 0.23728299140930176, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3912, 'grad_norm': 0.23933954536914825, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.4158, 'grad_norm': 0.25137683749198914, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3817, 'grad_norm': 0.23869076371192932, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3859, 'grad_norm': 0.23259322345256805, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.401, 'grad_norm': 0.20161618292331696, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3621, 'grad_norm': 0.20175667107105255, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.3013, 'grad_norm': 0.20966728031635284, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.3944, 'grad_norm': 0.23304957151412964, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.3842, 'grad_norm': 0.20457735657691956, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.4193, 'grad_norm': 0.23275862634181976, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.4281, 'grad_norm': 0.26824188232421875, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3648, 'grad_norm': 0.20168045163154602, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.4008, 'grad_norm': 0.24445489048957825, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
