[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.5462, 'grad_norm': 0.5505985617637634, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4939, 'grad_norm': 0.589539110660553, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6223, 'grad_norm': 0.6358155012130737, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.5154, 'grad_norm': 0.6432455778121948, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4907, 'grad_norm': 0.6076993942260742, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.4362, 'grad_norm': 0.475206583738327, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4944, 'grad_norm': 0.6631614565849304, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4932, 'grad_norm': 0.45377761125564575, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4248, 'grad_norm': 0.36329734325408936, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5114, 'grad_norm': 0.36457589268684387, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.4497, 'grad_norm': 0.3412652909755707, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.4383, 'grad_norm': 0.2461908757686615, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.4208, 'grad_norm': 0.21294237673282623, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4694, 'grad_norm': 0.20014479756355286, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.321, 'grad_norm': 0.16276779770851135, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3572, 'grad_norm': 0.1527407318353653, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3361, 'grad_norm': 0.18889665603637695, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.4602, 'grad_norm': 0.19922420382499695, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.4383, 'grad_norm': 0.19462129473686218, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
