[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.5469, 'grad_norm': 0.5833259224891663, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.5169, 'grad_norm': 0.45524924993515015, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.5769, 'grad_norm': 0.536234974861145, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.5788, 'grad_norm': 0.5739203691482544, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.493, 'grad_norm': 0.5940512418746948, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.43, 'grad_norm': 0.41331371665000916, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4901, 'grad_norm': 0.39224177598953247, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4942, 'grad_norm': 0.3357622027397156, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4487, 'grad_norm': 0.4231574833393097, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3995, 'grad_norm': 0.31693121790885925, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.4336, 'grad_norm': 0.2787724435329437, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.4207, 'grad_norm': 0.29711827635765076, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3988, 'grad_norm': 0.215287983417511, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4549, 'grad_norm': 0.19268935918807983, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3925, 'grad_norm': 0.28645485639572144, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.4962, 'grad_norm': 0.2356276661157608, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.4153, 'grad_norm': 0.1782558113336563, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.4302, 'grad_norm': 0.1852695345878601, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.42, 'grad_norm': 0.19024784862995148, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3198, 'grad_norm': 0.1476418673992157, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4258, 'grad_norm': 0.17869196832180023, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.4348, 'grad_norm': 0.19631712138652802, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.4635, 'grad_norm': 0.1625450998544693, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.4059, 'grad_norm': 0.17457222938537598, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4625, 'grad_norm': 0.19730530679225922, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3663, 'grad_norm': 0.18356509506702423, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.4317, 'grad_norm': 0.19634729623794556, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.4184, 'grad_norm': 0.1925380527973175, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3967, 'grad_norm': 0.19706349074840546, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3739, 'grad_norm': 0.18763689696788788, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3502, 'grad_norm': 0.18751992285251617, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.3464, 'grad_norm': 0.1787041872739792, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.3653, 'grad_norm': 0.19600696861743927, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.369, 'grad_norm': 0.20438887178897858, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.4531, 'grad_norm': 0.19736751914024353, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.3414, 'grad_norm': 0.1563967764377594, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3305, 'grad_norm': 0.17336921393871307, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.4315, 'grad_norm': 0.18177655339241028, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.4128, 'grad_norm': 0.1866142600774765, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.3651, 'grad_norm': 0.15571007132530212, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.4156, 'grad_norm': 0.18165633082389832, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.3703, 'grad_norm': 0.1949177235364914, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.4219, 'grad_norm': 0.16681259870529175, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.3741, 'grad_norm': 0.18260203301906586, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.4508, 'grad_norm': 0.15746791660785675, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.4107, 'grad_norm': 0.16695740818977356, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.3189, 'grad_norm': 0.16349594295024872, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.4667, 'grad_norm': 0.1603344976902008, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.4281, 'grad_norm': 0.18236836791038513, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.404, 'grad_norm': 0.16955512762069702, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.4219, 'grad_norm': 0.167405366897583, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.4261, 'grad_norm': 0.18449492752552032, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.3022, 'grad_norm': 0.15718582272529602, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.4005, 'grad_norm': 0.17705462872982025, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.4825, 'grad_norm': 0.2692720592021942, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.3946, 'grad_norm': 0.16871871054172516, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.359, 'grad_norm': 0.15894179046154022, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.3739, 'grad_norm': 0.19109219312667847, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.3453, 'grad_norm': 0.19344058632850647, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.3515, 'grad_norm': 0.18880125880241394, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.3811, 'grad_norm': 0.17205014824867249, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.3852, 'grad_norm': 0.1754639446735382, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.3373, 'grad_norm': 0.18752159178256989, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.4123, 'grad_norm': 0.17431239783763885, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.3928, 'grad_norm': 0.20477984845638275, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.3541, 'grad_norm': 0.18397992849349976, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.3557, 'grad_norm': 0.17235621809959412, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.416, 'grad_norm': 0.17778781056404114, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.3469, 'grad_norm': 0.1725936084985733, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.3951, 'grad_norm': 0.1862318515777588, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.3703, 'grad_norm': 0.1724662333726883, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.4206, 'grad_norm': 0.1702994406223297, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.392, 'grad_norm': 0.19201776385307312, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.394, 'grad_norm': 0.15348443388938904, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.364, 'grad_norm': 0.17319035530090332, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.4172, 'grad_norm': 0.17544160783290863, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.4088, 'grad_norm': 0.16298377513885498, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.3886, 'grad_norm': 0.1674593687057495, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.3954, 'grad_norm': 0.15952043235301971, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.4283, 'grad_norm': 0.15315154194831848, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.3877, 'grad_norm': 0.14581196010112762, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.3903, 'grad_norm': 0.14676308631896973, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.399, 'grad_norm': 0.1602228283882141, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.3085, 'grad_norm': 0.169120654463768, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.3726, 'grad_norm': 0.15608541667461395, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.4129, 'grad_norm': 0.1588401198387146, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.345, 'grad_norm': 0.1715150773525238, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
{'loss': 0.4162, 'grad_norm': 0.19552290439605713, 'learning_rate': 0.00016363636363636366, 'epoch': 0.58}
{'loss': 0.39, 'grad_norm': 0.18416337668895721, 'learning_rate': 0.0001631929046563193, 'epoch': 0.59}
{'loss': 0.3573, 'grad_norm': 0.15063907206058502, 'learning_rate': 0.00016274944567627495, 'epoch': 0.59}
{'loss': 0.3588, 'grad_norm': 0.14179430902004242, 'learning_rate': 0.0001623059866962306, 'epoch': 0.6}
{'loss': 0.3308, 'grad_norm': 0.17153212428092957, 'learning_rate': 0.00016186252771618626, 'epoch': 0.61}
{'loss': 0.3904, 'grad_norm': 0.18659250438213348, 'learning_rate': 0.0001614190687361419, 'epoch': 0.61}
{'loss': 0.4261, 'grad_norm': 0.1858247071504593, 'learning_rate': 0.00016097560975609758, 'epoch': 0.62}
{'loss': 0.458, 'grad_norm': 0.19007232785224915, 'learning_rate': 0.00016053215077605322, 'epoch': 0.63}
{'loss': 0.3958, 'grad_norm': 0.17200922966003418, 'learning_rate': 0.00016008869179600887, 'epoch': 0.63}
{'loss': 0.3974, 'grad_norm': 0.17318685352802277, 'learning_rate': 0.00015964523281596454, 'epoch': 0.64}
{'loss': 0.361, 'grad_norm': 0.16909000277519226, 'learning_rate': 0.00015920177383592018, 'epoch': 0.65}
{'loss': 0.3371, 'grad_norm': 0.15960760414600372, 'learning_rate': 0.00015875831485587586, 'epoch': 0.65}
{'loss': 0.3702, 'grad_norm': 0.15724176168441772, 'learning_rate': 0.0001583148558758315, 'epoch': 0.66}
{'loss': 0.4056, 'grad_norm': 0.1846688687801361, 'learning_rate': 0.00015787139689578714, 'epoch': 0.67}
{'loss': 0.3308, 'grad_norm': 0.1472506821155548, 'learning_rate': 0.0001574279379157428, 'epoch': 0.67}
{'loss': 0.449, 'grad_norm': 0.1756138950586319, 'learning_rate': 0.00015698447893569846, 'epoch': 0.68}
{'loss': 0.3864, 'grad_norm': 0.14951005578041077, 'learning_rate': 0.0001565410199556541, 'epoch': 0.69}
{'loss': 0.3994, 'grad_norm': 0.16066999733448029, 'learning_rate': 0.00015609756097560978, 'epoch': 0.69}
{'loss': 0.3918, 'grad_norm': 0.16202859580516815, 'learning_rate': 0.00015565410199556542, 'epoch': 0.7}
{'loss': 0.3893, 'grad_norm': 0.16016851365566254, 'learning_rate': 0.00015521064301552106, 'epoch': 0.71}
{'loss': 0.3412, 'grad_norm': 0.16684676706790924, 'learning_rate': 0.0001547671840354767, 'epoch': 0.71}
{'loss': 0.3526, 'grad_norm': 0.16039063036441803, 'learning_rate': 0.00015432372505543238, 'epoch': 0.72}
{'loss': 0.3712, 'grad_norm': 0.16019350290298462, 'learning_rate': 0.00015388026607538802, 'epoch': 0.73}
{'loss': 0.3917, 'grad_norm': 0.17042045295238495, 'learning_rate': 0.0001534368070953437, 'epoch': 0.73}
{'loss': 0.4577, 'grad_norm': 0.20219027996063232, 'learning_rate': 0.00015299334811529934, 'epoch': 0.74}
{'loss': 0.42, 'grad_norm': 0.1644078493118286, 'learning_rate': 0.00015254988913525498, 'epoch': 0.75}
{'loss': 0.3042, 'grad_norm': 0.15345987677574158, 'learning_rate': 0.00015210643015521066, 'epoch': 0.75}
{'loss': 0.388, 'grad_norm': 0.17139558494091034, 'learning_rate': 0.0001516629711751663, 'epoch': 0.76}
{'loss': 0.4356, 'grad_norm': 0.16099399328231812, 'learning_rate': 0.00015121951219512197, 'epoch': 0.76}
{'loss': 0.3902, 'grad_norm': 0.15102285146713257, 'learning_rate': 0.00015077605321507762, 'epoch': 0.77}
{'loss': 0.3895, 'grad_norm': 0.1776953637599945, 'learning_rate': 0.0001503325942350333, 'epoch': 0.78}
{'loss': 0.3894, 'grad_norm': 0.15424752235412598, 'learning_rate': 0.0001498891352549889, 'epoch': 0.78}
{'loss': 0.4112, 'grad_norm': 0.18028366565704346, 'learning_rate': 0.00014944567627494458, 'epoch': 0.79}
{'loss': 0.4181, 'grad_norm': 0.16253554821014404, 'learning_rate': 0.00014900221729490022, 'epoch': 0.8}
{'loss': 0.3787, 'grad_norm': 0.17432749271392822, 'learning_rate': 0.0001485587583148559, 'epoch': 0.8}
{'loss': 0.3835, 'grad_norm': 0.16740700602531433, 'learning_rate': 0.00014811529933481154, 'epoch': 0.81}
{'loss': 0.4249, 'grad_norm': 0.16929464042186737, 'learning_rate': 0.0001476718403547672, 'epoch': 0.82}
{'loss': 0.3666, 'grad_norm': 0.17200562357902527, 'learning_rate': 0.00014722838137472282, 'epoch': 0.82}
{'loss': 0.3651, 'grad_norm': 0.16402111947536469, 'learning_rate': 0.0001467849223946785, 'epoch': 0.83}
