[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.5194, 'grad_norm': 0.5346543192863464, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.5123, 'grad_norm': 0.5239447951316833, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.5453, 'grad_norm': 0.6069275736808777, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4332, 'grad_norm': 0.4914894998073578, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4555, 'grad_norm': 0.5605295896530151, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.4385, 'grad_norm': 0.46511536836624146, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4645, 'grad_norm': 0.37089771032333374, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4662, 'grad_norm': 0.3831436336040497, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.442, 'grad_norm': 0.34432193636894226, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.4178, 'grad_norm': 0.3210788667201996, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.4365, 'grad_norm': 0.27907654643058777, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.4781, 'grad_norm': 0.21519774198532104, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3903, 'grad_norm': 0.19622135162353516, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4684, 'grad_norm': 0.1978103667497635, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3782, 'grad_norm': 0.19256547093391418, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3396, 'grad_norm': 0.15787172317504883, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3862, 'grad_norm': 0.15759362280368805, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3863, 'grad_norm': 0.15316127240657806, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3864, 'grad_norm': 0.18465085327625275, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.4092, 'grad_norm': 0.20460084080696106, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4337, 'grad_norm': 0.21143390238285065, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3605, 'grad_norm': 0.2156149446964264, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3667, 'grad_norm': 0.22279483079910278, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.4333, 'grad_norm': 0.21768327057361603, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4239, 'grad_norm': 0.2126304656267166, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.4447, 'grad_norm': 0.24792331457138062, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.4072, 'grad_norm': 0.19409328699111938, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.4148, 'grad_norm': 0.1599801778793335, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.4669, 'grad_norm': 0.2297918051481247, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.369, 'grad_norm': 0.2065923810005188, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.454, 'grad_norm': 0.2060546576976776, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.3688, 'grad_norm': 0.1931159496307373, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.3989, 'grad_norm': 0.20634867250919342, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.403, 'grad_norm': 0.2051837146282196, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.3472, 'grad_norm': 0.18040932714939117, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.4064, 'grad_norm': 0.2012035995721817, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.4006, 'grad_norm': 0.1923997551202774, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.4051, 'grad_norm': 0.15697753429412842, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.4524, 'grad_norm': 0.2190333753824234, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.3469, 'grad_norm': 0.2010825127363205, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
