[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3979, 'grad_norm': 0.47745275497436523, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4392, 'grad_norm': 0.5132084488868713, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4729, 'grad_norm': 0.4924193024635315, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4257, 'grad_norm': 0.5132213234901428, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3845, 'grad_norm': 0.46315643191337585, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3353, 'grad_norm': 0.3268371820449829, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3794, 'grad_norm': 0.5176312923431396, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3655, 'grad_norm': 0.5476570725440979, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3959, 'grad_norm': 0.3376851975917816, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.4398, 'grad_norm': 0.3093506097793579, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3629, 'grad_norm': 0.2532288432121277, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3691, 'grad_norm': 0.1895401030778885, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3703, 'grad_norm': 0.16997261345386505, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3209, 'grad_norm': 0.1597002148628235, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.4053, 'grad_norm': 0.20022721588611603, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.397, 'grad_norm': 0.19978222250938416, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3069, 'grad_norm': 0.2257203906774521, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3212, 'grad_norm': 0.2680075466632843, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
