[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4446, 'grad_norm': 0.5176410675048828, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4259, 'grad_norm': 0.4655984342098236, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4795, 'grad_norm': 0.5154662728309631, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4251, 'grad_norm': 0.6371716260910034, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3721, 'grad_norm': 0.5826524496078491, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3371, 'grad_norm': 0.37397629022598267, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4343, 'grad_norm': 0.5273057222366333, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.427, 'grad_norm': 0.41808387637138367, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4405, 'grad_norm': 0.37756338715553284, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3777, 'grad_norm': 0.32529646158218384, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3848, 'grad_norm': 0.29580360651016235, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.372, 'grad_norm': 0.22388453781604767, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3881, 'grad_norm': 0.230421781539917, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3323, 'grad_norm': 0.1889353096485138, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3273, 'grad_norm': 0.16646187007427216, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.392, 'grad_norm': 0.23364858329296112, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.269, 'grad_norm': 0.19062727689743042, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
