[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3971, 'grad_norm': 0.4599260985851288, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4127, 'grad_norm': 0.47540581226348877, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3804, 'grad_norm': 0.42555350065231323, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4377, 'grad_norm': 0.5313037037849426, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4206, 'grad_norm': 0.572332501411438, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3604, 'grad_norm': 0.46943429112434387, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4485, 'grad_norm': 0.6964600086212158, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3357, 'grad_norm': 0.39007994532585144, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4876, 'grad_norm': 0.3297121822834015, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.395, 'grad_norm': 0.3544174134731293, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3938, 'grad_norm': 0.2999858856201172, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3074, 'grad_norm': 0.20868824422359467, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3977, 'grad_norm': 0.2076239138841629, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.422, 'grad_norm': 0.2260316163301468, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3279, 'grad_norm': 0.19515642523765564, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.332, 'grad_norm': 0.16641120612621307, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3063, 'grad_norm': 0.1966577172279358, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3135, 'grad_norm': 0.2767990827560425, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3439, 'grad_norm': 0.3085247278213501, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.2716, 'grad_norm': 0.2550763785839081, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.361, 'grad_norm': 0.3596331775188446, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3155, 'grad_norm': 0.26430022716522217, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3481, 'grad_norm': 0.2879158556461334, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3409, 'grad_norm': 0.2304346114397049, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3561, 'grad_norm': 0.22510525584220886, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2763, 'grad_norm': 0.17522092163562775, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.3511, 'grad_norm': 0.21848605573177338, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3598, 'grad_norm': 0.20391704142093658, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3193, 'grad_norm': 0.1990039050579071, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3394, 'grad_norm': 0.22869065403938293, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.2889, 'grad_norm': 0.23677685856819153, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.339, 'grad_norm': 0.19712907075881958, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2921, 'grad_norm': 0.17723976075649261, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2527, 'grad_norm': 0.1848548799753189, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.3628, 'grad_norm': 0.18968600034713745, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.3591, 'grad_norm': 0.21655863523483276, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.2993, 'grad_norm': 0.22493848204612732, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.298, 'grad_norm': 0.17280422151088715, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.2792, 'grad_norm': 0.19188600778579712, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.354, 'grad_norm': 0.27059870958328247, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.3005, 'grad_norm': 0.2469179481267929, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.2941, 'grad_norm': 0.23361240327358246, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.2777, 'grad_norm': 0.21665844321250916, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.3176, 'grad_norm': 0.2675613462924957, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.2889, 'grad_norm': 0.2301473766565323, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.3375, 'grad_norm': 0.23150630295276642, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2628, 'grad_norm': 0.21403740346431732, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.3818, 'grad_norm': 0.2444567084312439, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.3807, 'grad_norm': 0.22147203981876373, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.3229, 'grad_norm': 0.22480301558971405, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.3529, 'grad_norm': 0.2503209412097931, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.256, 'grad_norm': 0.19918735325336456, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.3081, 'grad_norm': 0.19771675765514374, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.3188, 'grad_norm': 0.2628498077392578, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
