[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4584, 'grad_norm': 0.4815496802330017, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4374, 'grad_norm': 0.5160672068595886, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4367, 'grad_norm': 0.5253738164901733, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4682, 'grad_norm': 0.45314979553222656, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4567, 'grad_norm': 0.5622431635856628, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3061, 'grad_norm': 0.38939717411994934, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3129, 'grad_norm': 0.4276087284088135, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.4205, 'grad_norm': 0.46716880798339844, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.4258, 'grad_norm': 0.32952746748924255, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3517, 'grad_norm': 0.3734244704246521, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3539, 'grad_norm': 0.2792035937309265, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.2876, 'grad_norm': 0.21468707919120789, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3706, 'grad_norm': 0.2357182502746582, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3587, 'grad_norm': 0.21166573464870453, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3797, 'grad_norm': 0.18809902667999268, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3407, 'grad_norm': 0.18765251338481903, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.2923, 'grad_norm': 0.23417972028255463, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3146, 'grad_norm': 0.27751994132995605, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3062, 'grad_norm': 0.3113149404525757, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3587, 'grad_norm': 0.32370319962501526, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3577, 'grad_norm': 0.29091981053352356, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.312, 'grad_norm': 0.22716975212097168, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3549, 'grad_norm': 0.23203922808170319, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3038, 'grad_norm': 0.25112050771713257, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3526, 'grad_norm': 0.19807331264019012, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3192, 'grad_norm': 0.1801876723766327, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.3109, 'grad_norm': 0.22083663940429688, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.2358, 'grad_norm': 0.18982040882110596, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.347, 'grad_norm': 0.21612153947353363, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3079, 'grad_norm': 0.21412137150764465, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3407, 'grad_norm': 0.21686038374900818, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.4302, 'grad_norm': 0.230218768119812, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2842, 'grad_norm': 0.22004196047782898, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2681, 'grad_norm': 0.19830232858657837, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.3405, 'grad_norm': 0.22447258234024048, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.3238, 'grad_norm': 0.22250081598758698, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3598, 'grad_norm': 0.23753592371940613, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.2815, 'grad_norm': 0.22751864790916443, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.3115, 'grad_norm': 0.22819913923740387, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.295, 'grad_norm': 0.2289951741695404, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.2611, 'grad_norm': 0.19391821324825287, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.2983, 'grad_norm': 0.1794007271528244, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.2909, 'grad_norm': 0.1872066706418991, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
