[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.558, 'grad_norm': 0.5252206325531006, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4876, 'grad_norm': 0.5324745774269104, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.445, 'grad_norm': 0.5433317422866821, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4381, 'grad_norm': 0.46432045102119446, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.4753, 'grad_norm': 0.542797863483429, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3932, 'grad_norm': 0.44868212938308716, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3804, 'grad_norm': 0.45564302802085876, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3622, 'grad_norm': 0.34750446677207947, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3615, 'grad_norm': 0.39352676272392273, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3996, 'grad_norm': 0.3184709846973419, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3528, 'grad_norm': 0.26444995403289795, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3574, 'grad_norm': 0.22913017868995667, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.4268, 'grad_norm': 0.23990246653556824, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.3988, 'grad_norm': 0.17657357454299927, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3701, 'grad_norm': 0.16343896090984344, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.2952, 'grad_norm': 0.2487208992242813, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.2449, 'grad_norm': 0.23948369920253754, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3473, 'grad_norm': 0.2659032642841339, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.2841, 'grad_norm': 0.2193998545408249, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3262, 'grad_norm': 0.28101369738578796, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3397, 'grad_norm': 0.297244131565094, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3118, 'grad_norm': 0.2511124312877655, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3463, 'grad_norm': 0.2279539406299591, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3472, 'grad_norm': 0.22319047152996063, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3185, 'grad_norm': 0.2048245519399643, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3444, 'grad_norm': 0.20788104832172394, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2936, 'grad_norm': 0.1998218148946762, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.2963, 'grad_norm': 0.17559291422367096, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.2938, 'grad_norm': 0.15690770745277405, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3792, 'grad_norm': 0.22807808220386505, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3385, 'grad_norm': 0.16118665039539337, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.3497, 'grad_norm': 0.17388230562210083, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.3787, 'grad_norm': 0.16456380486488342, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.3153, 'grad_norm': 0.1651185154914856, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.2486, 'grad_norm': 0.18667681515216827, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.342, 'grad_norm': 0.1944502890110016, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.4047, 'grad_norm': 0.19541329145431519, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.3904, 'grad_norm': 0.20513303577899933, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.3242, 'grad_norm': 0.1872163712978363, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.3366, 'grad_norm': 0.21378976106643677, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.3416, 'grad_norm': 0.19506895542144775, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.3518, 'grad_norm': 0.2019103616476059, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.3058, 'grad_norm': 0.18788199126720428, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.3105, 'grad_norm': 0.1913127452135086, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.322, 'grad_norm': 0.20514237880706787, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.398, 'grad_norm': 0.24572354555130005, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2591, 'grad_norm': 0.21092593669891357, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.3377, 'grad_norm': 0.2372630536556244, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.2959, 'grad_norm': 0.17312593758106232, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.3368, 'grad_norm': 0.1883564442396164, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.3192, 'grad_norm': 0.17718665301799774, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.3884, 'grad_norm': 0.253455251455307, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.26, 'grad_norm': 0.1593123972415924, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.3376, 'grad_norm': 0.18989689648151398, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.2732, 'grad_norm': 0.18940769135951996, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.3756, 'grad_norm': 0.20055855810642242, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.3434, 'grad_norm': 0.16959895193576813, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.337, 'grad_norm': 0.1869000792503357, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.3487, 'grad_norm': 0.1961577981710434, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.3373, 'grad_norm': 0.1936546415090561, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.3443, 'grad_norm': 0.18067863583564758, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.377, 'grad_norm': 0.21311233937740326, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.3305, 'grad_norm': 0.1718936562538147, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.2573, 'grad_norm': 0.17035336792469025, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.4052, 'grad_norm': 0.17545092105865479, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.3455, 'grad_norm': 0.17994698882102966, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.2804, 'grad_norm': 0.21155112981796265, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.2947, 'grad_norm': 0.19844886660575867, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.3569, 'grad_norm': 0.239731103181839, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.3057, 'grad_norm': 0.1855817586183548, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.2899, 'grad_norm': 0.20476947724819183, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.2942, 'grad_norm': 0.17494650185108185, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.2775, 'grad_norm': 0.18214082717895508, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.2712, 'grad_norm': 0.18333590030670166, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.2634, 'grad_norm': 0.1608125865459442, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.2507, 'grad_norm': 0.19852660596370697, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.3263, 'grad_norm': 0.18827828764915466, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.3111, 'grad_norm': 0.20373396575450897, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.2851, 'grad_norm': 0.178488090634346, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.3757, 'grad_norm': 0.21469923853874207, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.3075, 'grad_norm': 0.18843339383602142, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.3237, 'grad_norm': 0.18349160254001617, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.3138, 'grad_norm': 0.1937752664089203, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.3283, 'grad_norm': 0.20278318226337433, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.3549, 'grad_norm': 0.2055976390838623, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.3424, 'grad_norm': 0.19852152466773987, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.2614, 'grad_norm': 0.207631915807724, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
{'loss': 0.2736, 'grad_norm': 0.22276343405246735, 'learning_rate': 0.00016363636363636366, 'epoch': 0.58}
{'loss': 0.3431, 'grad_norm': 0.2049054354429245, 'learning_rate': 0.0001631929046563193, 'epoch': 0.59}
{'loss': 0.294, 'grad_norm': 0.19093064963817596, 'learning_rate': 0.00016274944567627495, 'epoch': 0.59}
{'loss': 0.3166, 'grad_norm': 0.20583686232566833, 'learning_rate': 0.0001623059866962306, 'epoch': 0.6}
{'loss': 0.2994, 'grad_norm': 0.15663059055805206, 'learning_rate': 0.00016186252771618626, 'epoch': 0.61}
{'loss': 0.3401, 'grad_norm': 0.1916862577199936, 'learning_rate': 0.0001614190687361419, 'epoch': 0.61}
{'loss': 0.325, 'grad_norm': 0.2145012617111206, 'learning_rate': 0.00016097560975609758, 'epoch': 0.62}
{'loss': 0.2936, 'grad_norm': 0.21684607863426208, 'learning_rate': 0.00016053215077605322, 'epoch': 0.63}
{'loss': 0.3435, 'grad_norm': 0.20537158846855164, 'learning_rate': 0.00016008869179600887, 'epoch': 0.63}
{'loss': 0.2747, 'grad_norm': 0.17752611637115479, 'learning_rate': 0.00015964523281596454, 'epoch': 0.64}
{'loss': 0.3238, 'grad_norm': 0.18508702516555786, 'learning_rate': 0.00015920177383592018, 'epoch': 0.65}
{'loss': 0.3472, 'grad_norm': 0.1924348920583725, 'learning_rate': 0.00015875831485587586, 'epoch': 0.65}
{'loss': 0.3135, 'grad_norm': 0.1995447427034378, 'learning_rate': 0.0001583148558758315, 'epoch': 0.66}
