[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                     
{'loss': 0.4342, 'grad_norm': 0.7621302604675293, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4303, 'grad_norm': 0.7653074860572815, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3913, 'grad_norm': 0.6676121950149536, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3611, 'grad_norm': 0.5977999567985535, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3804, 'grad_norm': 0.6217024922370911, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3921, 'grad_norm': 0.7652206420898438, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3985, 'grad_norm': 0.9378075003623962, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3654, 'grad_norm': 0.71085524559021, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3752, 'grad_norm': 0.5764943361282349, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3197, 'grad_norm': 0.3259476125240326, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3185, 'grad_norm': 0.24374698102474213, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3215, 'grad_norm': 0.21130673587322235, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3324, 'grad_norm': 0.37398093938827515, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.2859, 'grad_norm': 0.42364829778671265, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3102, 'grad_norm': 0.40995460748672485, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3883, 'grad_norm': 0.6548013091087341, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3039, 'grad_norm': 0.3737397789955139, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3024, 'grad_norm': 0.22267767786979675, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3268, 'grad_norm': 0.33285844326019287, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3752, 'grad_norm': 0.357565701007843, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3739, 'grad_norm': 0.3672785460948944, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.327, 'grad_norm': 0.24239327013492584, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3309, 'grad_norm': 0.26138538122177124, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.2851, 'grad_norm': 0.29028359055519104, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.3205, 'grad_norm': 0.4002686142921448, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.308, 'grad_norm': 0.39881861209869385, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2984, 'grad_norm': 0.28809449076652527, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3332, 'grad_norm': 0.5139060616493225, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.321, 'grad_norm': 0.353608638048172, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.3222, 'grad_norm': 0.27079251408576965, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
