[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.4426, 'grad_norm': 0.6305551528930664, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3786, 'grad_norm': 0.6967484951019287, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.4125, 'grad_norm': 0.5855938792228699, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3998, 'grad_norm': 0.7187883853912354, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.356, 'grad_norm': 0.6188647150993347, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3444, 'grad_norm': 0.6257643103599548, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4123, 'grad_norm': 1.3655579090118408, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3919, 'grad_norm': 0.8768500089645386, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.361, 'grad_norm': 0.5548776984214783, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3304, 'grad_norm': 0.2966042459011078, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.2844, 'grad_norm': 0.26382750272750854, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3261, 'grad_norm': 0.4175724387168884, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3281, 'grad_norm': 0.34874090552330017, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.275, 'grad_norm': 0.32416385412216187, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3242, 'grad_norm': 0.4663856327533722, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.309, 'grad_norm': 0.49701517820358276, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.3063, 'grad_norm': 0.2720567584037781, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3612, 'grad_norm': 0.2965441048145294, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.2607, 'grad_norm': 0.20685827732086182, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3357, 'grad_norm': 0.4153256416320801, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3403, 'grad_norm': 0.3220018744468689, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.3183, 'grad_norm': 0.34742027521133423, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3217, 'grad_norm': 0.25924745202064514, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.3158, 'grad_norm': 0.299447625875473, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.2982, 'grad_norm': 0.31905224919319153, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.3139, 'grad_norm': 0.3343527317047119, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.335, 'grad_norm': 0.27866601943969727, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.3224, 'grad_norm': 0.24299824237823486, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.2972, 'grad_norm': 0.28566625714302063, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.291, 'grad_norm': 0.29595938324928284, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.3018, 'grad_norm': 0.2804110646247864, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.309, 'grad_norm': 0.28703829646110535, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.2381, 'grad_norm': 0.20982185006141663, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2558, 'grad_norm': 0.290910005569458, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.2925, 'grad_norm': 0.25062182545661926, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.2896, 'grad_norm': 0.2978939712047577, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.3184, 'grad_norm': 0.19406621158123016, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.2824, 'grad_norm': 0.2679457366466522, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.278, 'grad_norm': 0.26061323285102844, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
