[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.372, 'grad_norm': 0.5772098898887634, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3852, 'grad_norm': 0.6016550660133362, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3947, 'grad_norm': 0.587187647819519, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3463, 'grad_norm': 0.6080570220947266, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3202, 'grad_norm': 0.5258907675743103, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3685, 'grad_norm': 1.228104591369629, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4122, 'grad_norm': 1.0225921869277954, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3643, 'grad_norm': 0.8980037569999695, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3351, 'grad_norm': 0.450419545173645, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.2891, 'grad_norm': 0.2928849160671234, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3125, 'grad_norm': 0.25714197754859924, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.3213, 'grad_norm': 0.47786593437194824, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3529, 'grad_norm': 0.5031756162643433, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.2827, 'grad_norm': 0.3206358850002289, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.2856, 'grad_norm': 0.25426334142684937, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.2635, 'grad_norm': 0.3152987062931061, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.279, 'grad_norm': 0.3602256774902344, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.2665, 'grad_norm': 0.3701817989349365, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3077, 'grad_norm': 0.25727060437202454, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.266, 'grad_norm': 0.2459011971950531, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3146, 'grad_norm': 0.3647293150424957, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.2873, 'grad_norm': 0.31545767188072205, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.3245, 'grad_norm': 0.40504324436187744, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.2908, 'grad_norm': 0.24146367609500885, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.2717, 'grad_norm': 0.2593480944633484, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2918, 'grad_norm': 0.33792921900749207, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2977, 'grad_norm': 0.33014217019081116, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.2493, 'grad_norm': 0.3714233636856079, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.3067, 'grad_norm': 0.3099006414413452, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.2933, 'grad_norm': 0.3159797489643097, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
