[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.335, 'grad_norm': 0.5699539184570312, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.3884, 'grad_norm': 0.6773567199707031, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3534, 'grad_norm': 0.5663402676582336, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.3576, 'grad_norm': 0.5848894715309143, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3481, 'grad_norm': 0.5182183384895325, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3369, 'grad_norm': 0.734167754650116, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.3788, 'grad_norm': 0.8615051507949829, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3657, 'grad_norm': 0.5570119023323059, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3615, 'grad_norm': 0.3463411331176758, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3115, 'grad_norm': 0.2065001279115677, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3207, 'grad_norm': 0.23114001750946045, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.343, 'grad_norm': 0.3008447289466858, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.2825, 'grad_norm': 0.229261577129364, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.2919, 'grad_norm': 0.24539263546466827, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3213, 'grad_norm': 0.27721861004829407, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.3038, 'grad_norm': 0.30282384157180786, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.2921, 'grad_norm': 0.48025229573249817, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3217, 'grad_norm': 0.3298836052417755, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.3045, 'grad_norm': 0.3537907600402832, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.3061, 'grad_norm': 0.31015992164611816, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.3099, 'grad_norm': 0.2670751214027405, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.2982, 'grad_norm': 0.31304118037223816, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2856, 'grad_norm': 0.29378607869148254, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
