[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7319, 'grad_norm': 0.6971131563186646, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.6907, 'grad_norm': 0.6586224436759949, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6775, 'grad_norm': 0.689985454082489, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6929, 'grad_norm': 0.8371744751930237, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6441, 'grad_norm': 0.6185905933380127, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.4899, 'grad_norm': 0.4304855465888977, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.5964, 'grad_norm': 0.42605164647102356, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.7466, 'grad_norm': 0.5508347153663635, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6317, 'grad_norm': 0.4686433970928192, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5819, 'grad_norm': 0.39714276790618896, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5541, 'grad_norm': 0.3217129707336426, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5618, 'grad_norm': 0.29913485050201416, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5827, 'grad_norm': 0.2818678319454193, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4978, 'grad_norm': 0.21400082111358643, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5489, 'grad_norm': 0.24537557363510132, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5688, 'grad_norm': 0.24309177696704865, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5746, 'grad_norm': 0.2774164378643036, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.5675, 'grad_norm': 0.29883405566215515, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.5518, 'grad_norm': 0.3224491775035858, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.4896, 'grad_norm': 0.3461124897003174, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4969, 'grad_norm': 0.2353738397359848, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5103, 'grad_norm': 0.29355186223983765, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.4752, 'grad_norm': 0.30329397320747375, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5587, 'grad_norm': 0.37515324354171753, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.515, 'grad_norm': 0.2913234829902649, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.4978, 'grad_norm': 0.23574180901050568, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.4636, 'grad_norm': 0.2882057726383209, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.4869, 'grad_norm': 0.3027912676334381, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5196, 'grad_norm': 0.3158264756202698, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.4955, 'grad_norm': 0.2759856879711151, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.4975, 'grad_norm': 0.2421700656414032, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.5145, 'grad_norm': 0.3058975338935852, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.5557, 'grad_norm': 0.3092413544654846, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.5153, 'grad_norm': 0.242164745926857, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.5409, 'grad_norm': 0.22610215842723846, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.484, 'grad_norm': 0.22242110967636108, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.494, 'grad_norm': 0.24071617424488068, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.4794, 'grad_norm': 0.2430548220872879, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.5509, 'grad_norm': 0.2438473403453827, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.5069, 'grad_norm': 0.23791682720184326, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.4439, 'grad_norm': 0.2240241914987564, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.4887, 'grad_norm': 0.21434317529201508, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.4826, 'grad_norm': 0.24217376112937927, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.4763, 'grad_norm': 0.21972733736038208, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.5503, 'grad_norm': 0.24223430454730988, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.5826, 'grad_norm': 0.24800552427768707, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.5262, 'grad_norm': 0.23378394544124603, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
