[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7461, 'grad_norm': 0.7793002724647522, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.6762, 'grad_norm': 0.7593808174133301, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6407, 'grad_norm': 0.6508975625038147, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6321, 'grad_norm': 0.6826261281967163, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6163, 'grad_norm': 0.6548676490783691, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5514, 'grad_norm': 0.4570632576942444, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6346, 'grad_norm': 0.46771976351737976, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.647, 'grad_norm': 0.46864181756973267, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6089, 'grad_norm': 0.458547979593277, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6248, 'grad_norm': 0.37879714369773865, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6137, 'grad_norm': 0.299896240234375, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5925, 'grad_norm': 0.2759700417518616, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5943, 'grad_norm': 0.2176770269870758, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5859, 'grad_norm': 0.27329176664352417, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5624, 'grad_norm': 0.25643059611320496, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.4891, 'grad_norm': 0.22105255722999573, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5125, 'grad_norm': 0.25932466983795166, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.5767, 'grad_norm': 0.3041902184486389, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.5345, 'grad_norm': 0.29133978486061096, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5906, 'grad_norm': 0.3305515646934509, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.5779, 'grad_norm': 0.3236677944660187, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
