[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.6181, 'grad_norm': 0.6768403053283691, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.6418, 'grad_norm': 0.6549180746078491, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6423, 'grad_norm': 0.7175435423851013, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6267, 'grad_norm': 0.6953100562095642, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.658, 'grad_norm': 0.8179501891136169, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5152, 'grad_norm': 0.5222513675689697, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.5598, 'grad_norm': 0.4491959810256958, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.5832, 'grad_norm': 0.4675256609916687, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6112, 'grad_norm': 0.4651449918746948, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5755, 'grad_norm': 0.4179295599460602, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5569, 'grad_norm': 0.3290911614894867, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5863, 'grad_norm': 0.3398095667362213, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5701, 'grad_norm': 0.22529545426368713, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.4752, 'grad_norm': 0.2955249547958374, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5215, 'grad_norm': 0.2739120125770569, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5166, 'grad_norm': 0.2564171850681305, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5426, 'grad_norm': 0.2588978707790375, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
