[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.6649, 'grad_norm': 0.6327051520347595, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7348, 'grad_norm': 0.7767547369003296, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6231, 'grad_norm': 0.7006362080574036, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6608, 'grad_norm': 0.8091753721237183, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6081, 'grad_norm': 0.6929617524147034, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.6177, 'grad_norm': 0.5215197205543518, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.5841, 'grad_norm': 0.5753512978553772, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6115, 'grad_norm': 0.4637582004070282, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6162, 'grad_norm': 0.49435579776763916, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5857, 'grad_norm': 0.36443474888801575, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6078, 'grad_norm': 0.34714075922966003, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5715, 'grad_norm': 0.2915339767932892, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5503, 'grad_norm': 0.2416216880083084, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5788, 'grad_norm': 0.2108393758535385, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.6017, 'grad_norm': 0.22106854617595673, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.6126, 'grad_norm': 0.21768637001514435, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5113, 'grad_norm': 0.2394254356622696, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.5398, 'grad_norm': 0.31820350885391235, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.5619, 'grad_norm': 0.307306170463562, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5661, 'grad_norm': 0.30859509110450745, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4836, 'grad_norm': 0.33015450835227966, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.4797, 'grad_norm': 0.31310564279556274, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.5395, 'grad_norm': 0.42542776465415955, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5495, 'grad_norm': 0.3154587149620056, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.561, 'grad_norm': 0.4009590446949005, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.5333, 'grad_norm': 0.25747179985046387, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.5919, 'grad_norm': 0.32569989562034607, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.5713, 'grad_norm': 0.3193936347961426, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5045, 'grad_norm': 0.26442059874534607, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.5173, 'grad_norm': 0.25621095299720764, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.4844, 'grad_norm': 0.24094898998737335, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.5844, 'grad_norm': 0.2331915646791458, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.5549, 'grad_norm': 0.27364566922187805, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.4845, 'grad_norm': 0.2547496557235718, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.5157, 'grad_norm': 0.261041522026062, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.4933, 'grad_norm': 0.2586374878883362, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
