[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.6952, 'grad_norm': 0.7272076606750488, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7033, 'grad_norm': 0.7232649326324463, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.708, 'grad_norm': 0.7085875868797302, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.608, 'grad_norm': 0.5811873078346252, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6129, 'grad_norm': 0.6723708510398865, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5642, 'grad_norm': 0.41828450560569763, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.575, 'grad_norm': 0.4681159555912018, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.5754, 'grad_norm': 0.5922272801399231, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6141, 'grad_norm': 0.4611121416091919, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5958, 'grad_norm': 0.3238699734210968, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.565, 'grad_norm': 0.28009355068206787, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5668, 'grad_norm': 0.23766478896141052, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5005, 'grad_norm': 0.25469356775283813, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.6076, 'grad_norm': 0.25554558634757996, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5158, 'grad_norm': 0.23003166913986206, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5571, 'grad_norm': 0.2401570975780487, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5604, 'grad_norm': 0.2700345516204834, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.56, 'grad_norm': 0.28173935413360596, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.5621, 'grad_norm': 0.29270246624946594, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.505, 'grad_norm': 0.3630679249763489, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.5816, 'grad_norm': 0.39496704936027527, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5577, 'grad_norm': 0.3660905659198761, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.525, 'grad_norm': 0.3457847535610199, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5179, 'grad_norm': 0.2904522120952606, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.5432, 'grad_norm': 0.2627923786640167, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.5316, 'grad_norm': 0.27879396080970764, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.5342, 'grad_norm': 0.24456746876239777, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.549, 'grad_norm': 0.2723235785961151, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.4607, 'grad_norm': 0.26726287603378296, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.5029, 'grad_norm': 0.25267595052719116, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.4736, 'grad_norm': 0.24768207967281342, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.5188, 'grad_norm': 0.28106117248535156, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.4936, 'grad_norm': 0.25520631670951843, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.5922, 'grad_norm': 0.29878878593444824, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.5457, 'grad_norm': 0.24355879426002502, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.4527, 'grad_norm': 0.243972510099411, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.5169, 'grad_norm': 0.40099242329597473, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
