[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                     
{'loss': 0.2423, 'grad_norm': 0.2023283690214157, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.163, 'grad_norm': 0.20993690192699432, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.1802, 'grad_norm': 0.19664356112480164, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.2073, 'grad_norm': 0.2252870500087738, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.2288, 'grad_norm': 0.22499985992908478, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.1769, 'grad_norm': 0.2141806185245514, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.2072, 'grad_norm': 0.19278982281684875, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.1781, 'grad_norm': 0.17945532500743866, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.1837, 'grad_norm': 0.2006072700023651, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.2381, 'grad_norm': 0.1974848061800003, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.2086, 'grad_norm': 0.20547543466091156, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.2408, 'grad_norm': 0.26795583963394165, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.1933, 'grad_norm': 0.19642682373523712, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.1886, 'grad_norm': 0.28112325072288513, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.2438, 'grad_norm': 0.29229986667633057, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.1862, 'grad_norm': 0.2350640445947647, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.249, 'grad_norm': 0.38347959518432617, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.1856, 'grad_norm': 0.241679847240448, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.2058, 'grad_norm': 0.1953897476196289, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.1896, 'grad_norm': 0.2554430365562439, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.2014, 'grad_norm': 0.22737760841846466, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.2277, 'grad_norm': 0.26559409499168396, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.2091, 'grad_norm': 0.22492270171642303, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.1988, 'grad_norm': 0.26059746742248535, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.2031, 'grad_norm': 0.27117085456848145, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.2058, 'grad_norm': 0.3257911205291748, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.2051, 'grad_norm': 0.2919811010360718, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.1818, 'grad_norm': 0.24007530510425568, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.2136, 'grad_norm': 0.3125832676887512, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.1653, 'grad_norm': 0.2278321385383606, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.1829, 'grad_norm': 0.2237260639667511, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.1729, 'grad_norm': 0.26209986209869385, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.16, 'grad_norm': 0.23032888770103455, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.2478, 'grad_norm': 0.2360980212688446, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.1895, 'grad_norm': 0.2080075591802597, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.216, 'grad_norm': 0.27107518911361694, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.2011, 'grad_norm': 0.24750949442386627, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.1972, 'grad_norm': 0.20846019685268402, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.175, 'grad_norm': 0.2868037819862366, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.1976, 'grad_norm': 0.2389504760503769, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.2039, 'grad_norm': 0.24362008273601532, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.2343, 'grad_norm': 0.23513278365135193, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.2036, 'grad_norm': 0.20110464096069336, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.2265, 'grad_norm': 0.24928347766399384, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.1742, 'grad_norm': 0.19993071258068085, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.1766, 'grad_norm': 0.2564362585544586, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.2115, 'grad_norm': 0.277826189994812, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.2107, 'grad_norm': 0.2357843816280365, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.1836, 'grad_norm': 0.23899386823177338, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.2403, 'grad_norm': 0.28057989478111267, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
