[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                     
{'loss': 1.6022, 'grad_norm': 1.4023898839950562, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.5589, 'grad_norm': 1.2741819620132446, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.6667, 'grad_norm': 1.3797111511230469, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.5703, 'grad_norm': 1.5597256422042847, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.4193, 'grad_norm': 1.540254831314087, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.1903, 'grad_norm': 1.1259222030639648, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.0472, 'grad_norm': 0.42935505509376526, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 1.0424, 'grad_norm': 0.20061978697776794, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 1.0451, 'grad_norm': 0.22218430042266846, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 1.0331, 'grad_norm': 0.2849467694759369, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 1.0387, 'grad_norm': 0.2424803227186203, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 1.0464, 'grad_norm': 0.2997390329837799, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 1.0462, 'grad_norm': 0.34138840436935425, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 1.0115, 'grad_norm': 0.2575330138206482, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 1.0382, 'grad_norm': 0.1966353952884674, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 1.0051, 'grad_norm': 0.20750322937965393, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 1.0306, 'grad_norm': 0.3601030707359314, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.9696, 'grad_norm': 0.3523307740688324, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.9557, 'grad_norm': 0.2179092913866043, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.9557, 'grad_norm': 0.24157819151878357, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.9553, 'grad_norm': 0.3804493248462677, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.9391, 'grad_norm': 0.24639630317687988, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.902, 'grad_norm': 0.25743368268013, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.9309, 'grad_norm': 0.2578481137752533, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.9116, 'grad_norm': 0.22348646819591522, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.9209, 'grad_norm': 0.22649329900741577, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.9296, 'grad_norm': 0.3063605725765228, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.9187, 'grad_norm': 0.2821741998195648, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.9069, 'grad_norm': 0.24632394313812256, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.9365, 'grad_norm': 0.27498310804367065, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.8732, 'grad_norm': 0.21555180847644806, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.9472, 'grad_norm': 0.24452528357505798, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.9538, 'grad_norm': 0.20688749849796295, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.8966, 'grad_norm': 0.17624811828136444, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.9161, 'grad_norm': 0.1390111893415451, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.8792, 'grad_norm': 0.2248949110507965, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.8881, 'grad_norm': 0.2739142179489136, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.8843, 'grad_norm': 0.1305573582649231, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.9583, 'grad_norm': 0.17784833908081055, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.9227, 'grad_norm': 0.18056581914424896, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.8867, 'grad_norm': 0.16300930082798004, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.8798, 'grad_norm': 0.1876961588859558, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.9112, 'grad_norm': 0.193076029419899, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.8947, 'grad_norm': 0.1597032994031906, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.9182, 'grad_norm': 0.1879349648952484, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.9817, 'grad_norm': 0.22373066842556, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.927, 'grad_norm': 0.18283604085445404, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.9364, 'grad_norm': 0.1456601470708847, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.9026, 'grad_norm': 0.15520375967025757, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.8705, 'grad_norm': 0.18099237978458405, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.8865, 'grad_norm': 0.15537801384925842, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.9409, 'grad_norm': 0.16269057989120483, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.9094, 'grad_norm': 0.13361941277980804, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.977, 'grad_norm': 0.1750834584236145, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.9389, 'grad_norm': 0.16732366383075714, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.9002, 'grad_norm': 0.12859618663787842, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.9346, 'grad_norm': 0.18417738378047943, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.8982, 'grad_norm': 0.18148283660411835, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.8901, 'grad_norm': 0.18392613530158997, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.889, 'grad_norm': 0.17247982323169708, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.9238, 'grad_norm': 0.1648370623588562, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.8645, 'grad_norm': 0.1435222625732422, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.9346, 'grad_norm': 0.2958703637123108, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.911, 'grad_norm': 0.15044671297073364, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.9085, 'grad_norm': 0.2081584930419922, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.9165, 'grad_norm': 0.17287665605545044, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.8561, 'grad_norm': 0.18130581080913544, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.9027, 'grad_norm': 0.14040891826152802, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.9369, 'grad_norm': 0.1743699610233307, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.8579, 'grad_norm': 0.18675597012043, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.8689, 'grad_norm': 0.16413554549217224, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.8963, 'grad_norm': 0.17615559697151184, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.9182, 'grad_norm': 0.1799929291009903, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.938, 'grad_norm': 0.1961255669593811, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.9601, 'grad_norm': 0.171273872256279, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.9219, 'grad_norm': 0.15176303684711456, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.8849, 'grad_norm': 0.17418278753757477, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.8991, 'grad_norm': 0.16092531383037567, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.9512, 'grad_norm': 0.17276030778884888, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.8652, 'grad_norm': 0.18009553849697113, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.874, 'grad_norm': 0.17977552115917206, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
