[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.6364, 'grad_norm': 1.3870357275009155, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.6766, 'grad_norm': 1.3717591762542725, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.6684, 'grad_norm': 1.4227995872497559, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.6001, 'grad_norm': 1.5323489904403687, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.4775, 'grad_norm': 1.663596749305725, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.2521, 'grad_norm': 1.169207215309143, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.0803, 'grad_norm': 0.4087236225605011, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 1.0427, 'grad_norm': 0.274013489484787, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 1.0261, 'grad_norm': 0.31788504123687744, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 1.0653, 'grad_norm': 0.21578368544578552, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 1.02, 'grad_norm': 0.31814852356910706, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 1.0121, 'grad_norm': 0.20523540675640106, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 1.0024, 'grad_norm': 0.2617943584918976, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 1.0143, 'grad_norm': 0.21047081053256989, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 1.0431, 'grad_norm': 0.22708715498447418, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 1.0575, 'grad_norm': 0.24063082039356232, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.9876, 'grad_norm': 0.2715625762939453, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.9918, 'grad_norm': 0.24065905809402466, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.9461, 'grad_norm': 0.22797487676143646, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
