[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.4764, 'grad_norm': 1.2229065895080566, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.616, 'grad_norm': 1.3322937488555908, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.5938, 'grad_norm': 1.326489806175232, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.4938, 'grad_norm': 1.4930530786514282, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.4394, 'grad_norm': 1.626662254333496, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.2092, 'grad_norm': 1.2392042875289917, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.9996, 'grad_norm': 0.31748098134994507, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.9929, 'grad_norm': 0.2495693415403366, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 1.0457, 'grad_norm': 0.30781233310699463, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 1.0011, 'grad_norm': 0.29225629568099976, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.9797, 'grad_norm': 0.29421237111091614, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 1.0367, 'grad_norm': 0.3084380328655243, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.9922, 'grad_norm': 0.20758147537708282, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.9926, 'grad_norm': 0.41021728515625, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.9519, 'grad_norm': 0.25286051630973816, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.9926, 'grad_norm': 0.3730734884738922, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 1.0281, 'grad_norm': 0.515968382358551, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.9887, 'grad_norm': 0.4116981625556946, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.9293, 'grad_norm': 0.2861718535423279, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.96, 'grad_norm': 0.3922841250896454, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.9413, 'grad_norm': 0.3303672969341278, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.9469, 'grad_norm': 0.517682671546936, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.9582, 'grad_norm': 0.4550473988056183, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.9632, 'grad_norm': 0.250973105430603, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.9515, 'grad_norm': 0.21614117920398712, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.9774, 'grad_norm': 0.19550415873527527, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.9024, 'grad_norm': 0.17697332799434662, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.9315, 'grad_norm': 0.22499318420886993, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.9284, 'grad_norm': 0.19761087000370026, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.9351, 'grad_norm': 0.19157655537128448, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.8982, 'grad_norm': 0.17847074568271637, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.9377, 'grad_norm': 0.16503041982650757, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.9148, 'grad_norm': 0.12479831278324127, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.9125, 'grad_norm': 0.16634587943553925, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.9103, 'grad_norm': 0.15017136931419373, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.9232, 'grad_norm': 0.17265276610851288, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.9017, 'grad_norm': 0.18829461932182312, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.9373, 'grad_norm': 0.21424417197704315, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.8709, 'grad_norm': 0.159337118268013, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.8825, 'grad_norm': 0.1502261757850647, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.9506, 'grad_norm': 0.1466268002986908, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.8886, 'grad_norm': 0.14397767186164856, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.893, 'grad_norm': 0.14045414328575134, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.8854, 'grad_norm': 0.15518058836460114, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.9213, 'grad_norm': 0.20216913521289825, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.8933, 'grad_norm': 0.17679384350776672, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.8982, 'grad_norm': 0.1570761650800705, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.8808, 'grad_norm': 0.16987945139408112, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.9299, 'grad_norm': 0.2073754221200943, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.8891, 'grad_norm': 0.14303095638751984, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.919, 'grad_norm': 0.1552639603614807, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.9066, 'grad_norm': 0.1748608648777008, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.8525, 'grad_norm': 0.126556396484375, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.9248, 'grad_norm': 0.1967144012451172, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.9288, 'grad_norm': 0.18210391700267792, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.8713, 'grad_norm': 0.14721041917800903, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.9066, 'grad_norm': 0.194455087184906, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.8971, 'grad_norm': 0.13232578337192535, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.8847, 'grad_norm': 0.20076733827590942, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.893, 'grad_norm': 0.21585270762443542, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.869, 'grad_norm': 0.1402910053730011, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.9119, 'grad_norm': 0.15450040996074677, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.9168, 'grad_norm': 0.18477404117584229, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.8522, 'grad_norm': 0.15488268435001373, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.8495, 'grad_norm': 0.1711067408323288, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.9286, 'grad_norm': 0.17359232902526855, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.9069, 'grad_norm': 0.1378251612186432, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.8903, 'grad_norm': 0.2369576394557953, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
