[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.2387, 'grad_norm': 0.43149325251579285, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.2315, 'grad_norm': 0.36405640840530396, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.2492, 'grad_norm': 0.37784451246261597, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.238, 'grad_norm': 0.37930065393447876, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.1818, 'grad_norm': 0.3329618573188782, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.1918, 'grad_norm': 0.42128193378448486, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.2096, 'grad_norm': 0.35113388299942017, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.1797, 'grad_norm': 0.34828323125839233, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.1679, 'grad_norm': 0.2579481601715088, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.2465, 'grad_norm': 0.21640050411224365, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.1688, 'grad_norm': 0.19900229573249817, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.1483, 'grad_norm': 0.12730178236961365, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.1715, 'grad_norm': 0.17356042563915253, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.1399, 'grad_norm': 0.11455366760492325, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.2172, 'grad_norm': 0.255635142326355, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.1431, 'grad_norm': 0.165094256401062, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.1897, 'grad_norm': 0.2671244740486145, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.1772, 'grad_norm': 0.2716321647167206, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
