[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7234, 'grad_norm': 0.7500804662704468, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.6703, 'grad_norm': 0.7920145392417908, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6662, 'grad_norm': 0.6973498463630676, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.7118, 'grad_norm': 0.7504316568374634, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6088, 'grad_norm': 0.6554458141326904, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5143, 'grad_norm': 0.6158233880996704, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6293, 'grad_norm': 0.7673123478889465, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.6006, 'grad_norm': 0.7065689563751221, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.6282, 'grad_norm': 0.5072925686836243, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.6182, 'grad_norm': 0.4891507625579834, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5488, 'grad_norm': 0.4094406068325043, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5291, 'grad_norm': 0.3209526538848877, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5393, 'grad_norm': 0.29451799392700195, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.6199, 'grad_norm': 0.23451249301433563, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5788, 'grad_norm': 0.2602854371070862, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5484, 'grad_norm': 0.29543933272361755, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5655, 'grad_norm': 0.25688427686691284, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.5321, 'grad_norm': 0.28686946630477905, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.4819, 'grad_norm': 0.3806819021701813, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5439, 'grad_norm': 0.34847286343574524, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.5698, 'grad_norm': 0.346972793340683, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5071, 'grad_norm': 0.34248000383377075, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.5001, 'grad_norm': 0.35935527086257935, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5361, 'grad_norm': 0.35675445199012756, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4907, 'grad_norm': 0.293661504983902, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.5283, 'grad_norm': 0.29284587502479553, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.5137, 'grad_norm': 0.2845151126384735, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.5041, 'grad_norm': 0.2547920048236847, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5159, 'grad_norm': 0.22705872356891632, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.5195, 'grad_norm': 0.2882448434829712, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.461, 'grad_norm': 0.30029115080833435, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.5058, 'grad_norm': 0.2773362994194031, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.5223, 'grad_norm': 0.29388511180877686, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.4947, 'grad_norm': 0.2665714919567108, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.477, 'grad_norm': 0.263492614030838, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.4318, 'grad_norm': 0.2577143609523773, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.5115, 'grad_norm': 0.250394344329834, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.4537, 'grad_norm': 0.258323073387146, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.4981, 'grad_norm': 0.270982563495636, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.5415, 'grad_norm': 0.2875513434410095, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.4413, 'grad_norm': 0.21536588668823242, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.6147, 'grad_norm': 0.23905913531780243, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.4932, 'grad_norm': 0.22943012416362762, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.5311, 'grad_norm': 0.2736305296421051, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.4375, 'grad_norm': 0.24380286037921906, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.5314, 'grad_norm': 0.2792895436286926, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.4768, 'grad_norm': 0.211225226521492, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.5201, 'grad_norm': 0.21243518590927124, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.4454, 'grad_norm': 0.2291218638420105, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.4807, 'grad_norm': 0.2315511256456375, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.4743, 'grad_norm': 0.2506268620491028, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.5121, 'grad_norm': 0.25849440693855286, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.5103, 'grad_norm': 0.2776019871234894, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.4958, 'grad_norm': 0.2631033957004547, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.5236, 'grad_norm': 0.2499527782201767, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.4841, 'grad_norm': 0.31935346126556396, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.4433, 'grad_norm': 0.2523483335971832, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.4891, 'grad_norm': 0.2531643807888031, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.506, 'grad_norm': 0.24641433358192444, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.4841, 'grad_norm': 0.31194061040878296, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.4678, 'grad_norm': 0.2519548237323761, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
