[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7347, 'grad_norm': 0.7005757689476013, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.689, 'grad_norm': 0.7518503069877625, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.7127, 'grad_norm': 0.7410119771957397, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.7084, 'grad_norm': 0.7997961640357971, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6712, 'grad_norm': 0.6567122340202332, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.6463, 'grad_norm': 0.5308910012245178, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6551, 'grad_norm': 0.5575738549232483, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.5335, 'grad_norm': 0.5532558560371399, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.607, 'grad_norm': 0.529627799987793, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5791, 'grad_norm': 0.3982316255569458, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5495, 'grad_norm': 0.3758111298084259, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5539, 'grad_norm': 0.3854384422302246, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.6012, 'grad_norm': 0.32415154576301575, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5742, 'grad_norm': 0.31159088015556335, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5604, 'grad_norm': 0.23666724562644958, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.4779, 'grad_norm': 0.29140064120292664, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.4976, 'grad_norm': 0.2932356297969818, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.5077, 'grad_norm': 0.2822810709476471, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.4718, 'grad_norm': 0.306002140045166, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.4772, 'grad_norm': 0.37009158730506897, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.5078, 'grad_norm': 0.34367531538009644, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5632, 'grad_norm': 0.33884164690971375, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.5396, 'grad_norm': 0.38687554001808167, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5005, 'grad_norm': 0.34139272570610046, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
