[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.7222, 'grad_norm': 0.739882230758667, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.6997, 'grad_norm': 0.7273588180541992, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6643, 'grad_norm': 0.7924237251281738, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.6391, 'grad_norm': 0.7898186445236206, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6134, 'grad_norm': 0.7422821521759033, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5141, 'grad_norm': 0.43773359060287476, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4813, 'grad_norm': 0.47427457571029663, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.5652, 'grad_norm': 0.6992417573928833, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.5343, 'grad_norm': 0.5984272956848145, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.5314, 'grad_norm': 0.5194743275642395, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.5909, 'grad_norm': 0.32338622212409973, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.5254, 'grad_norm': 0.2919484078884125, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.5336, 'grad_norm': 0.24760425090789795, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.5211, 'grad_norm': 0.24951325356960297, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.589, 'grad_norm': 0.27098894119262695, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5578, 'grad_norm': 0.2497386783361435, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.4773, 'grad_norm': 0.24894188344478607, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.3972, 'grad_norm': 0.2919498682022095, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.4936, 'grad_norm': 0.35892581939697266, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.5331, 'grad_norm': 0.41549351811408997, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.4443, 'grad_norm': 0.3231000602245331, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.5022, 'grad_norm': 0.37291207909584045, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.5033, 'grad_norm': 0.32158082723617554, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.4773, 'grad_norm': 0.3715076744556427, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.4407, 'grad_norm': 0.3672633767127991, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.4867, 'grad_norm': 0.36300429701805115, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.4977, 'grad_norm': 0.36924177408218384, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.4944, 'grad_norm': 0.3337491750717163, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5472, 'grad_norm': 0.32057636976242065, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.4904, 'grad_norm': 0.28496113419532776, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.5722, 'grad_norm': 0.27524933218955994, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
