[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.3539, 'grad_norm': 0.6661311388015747, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.4306, 'grad_norm': 0.7715754508972168, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.3584, 'grad_norm': 0.5572435259819031, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.4301, 'grad_norm': 0.6366544961929321, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.3905, 'grad_norm': 0.7104669809341431, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.3331, 'grad_norm': 0.8851706385612488, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4034, 'grad_norm': 0.9300987720489502, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.3959, 'grad_norm': 0.9458937048912048, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.3764, 'grad_norm': 0.5090291500091553, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.3177, 'grad_norm': 0.2604996860027313, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.3234, 'grad_norm': 0.23455768823623657, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.2996, 'grad_norm': 0.29143860936164856, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.3079, 'grad_norm': 0.3750663101673126, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.2535, 'grad_norm': 0.29548606276512146, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.3795, 'grad_norm': 0.4733254313468933, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.301, 'grad_norm': 0.3771440386772156, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
