[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.7264, 'grad_norm': 1.5078269243240356, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.8004, 'grad_norm': 1.4663163423538208, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.6053, 'grad_norm': 1.3080196380615234, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.6911, 'grad_norm': 1.593885064125061, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.6303, 'grad_norm': 1.7153273820877075, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.2638, 'grad_norm': 1.2118985652923584, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.0789, 'grad_norm': 0.43593406677246094, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 1.0013, 'grad_norm': 0.23567211627960205, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 1.0694, 'grad_norm': 0.3293311297893524, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 1.0056, 'grad_norm': 0.2625406086444855, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 1.0676, 'grad_norm': 0.2745235860347748, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 1.0186, 'grad_norm': 0.2473335862159729, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.9921, 'grad_norm': 0.32516056299209595, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.9833, 'grad_norm': 0.2225024253129959, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 1.0096, 'grad_norm': 0.2009628862142563, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.991, 'grad_norm': 0.19821040332317352, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
