[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 0.6678, 'grad_norm': 0.7492129802703857, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7026, 'grad_norm': 0.7487998604774475, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6228, 'grad_norm': 0.6194182634353638, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.663, 'grad_norm': 0.7785975337028503, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.5882, 'grad_norm': 0.6503734588623047, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.5581, 'grad_norm': 0.4810352623462677, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.5606, 'grad_norm': 0.468408465385437, 'learning_rate': 0.00019954441913439636, 'epoch': 0.05}
{'loss': 0.5783, 'grad_norm': 0.42885467410087585, 'learning_rate': 0.00019908883826879272, 'epoch': 0.05}
{'loss': 0.5745, 'grad_norm': 0.48046252131462097, 'learning_rate': 0.00019863325740318908, 'epoch': 0.06}
{'loss': 0.6794, 'grad_norm': 0.5298781991004944, 'learning_rate': 0.00019817767653758543, 'epoch': 0.07}
{'loss': 0.5307, 'grad_norm': 0.3495148718357086, 'learning_rate': 0.00019772209567198179, 'epoch': 0.07}
{'loss': 0.5586, 'grad_norm': 0.3026745021343231, 'learning_rate': 0.00019726651480637814, 'epoch': 0.08}
{'loss': 0.5172, 'grad_norm': 0.2388988733291626, 'learning_rate': 0.0001968109339407745, 'epoch': 0.09}
{'loss': 0.5862, 'grad_norm': 0.2915358245372772, 'learning_rate': 0.00019635535307517085, 'epoch': 0.09}
{'loss': 0.4939, 'grad_norm': 0.23750010132789612, 'learning_rate': 0.0001958997722095672, 'epoch': 0.1}
{'loss': 0.4384, 'grad_norm': 0.2426588386297226, 'learning_rate': 0.00019544419134396356, 'epoch': 0.11}
{'loss': 0.5098, 'grad_norm': 0.30848148465156555, 'learning_rate': 0.00019498861047835992, 'epoch': 0.11}
{'loss': 0.4706, 'grad_norm': 0.3643244802951813, 'learning_rate': 0.00019453302961275627, 'epoch': 0.12}
{'loss': 0.4985, 'grad_norm': 0.3564635217189789, 'learning_rate': 0.00019407744874715263, 'epoch': 0.13}
{'loss': 0.521, 'grad_norm': 0.3788006901741028, 'learning_rate': 0.00019362186788154898, 'epoch': 0.14}
{'loss': 0.475, 'grad_norm': 0.4357098937034607, 'learning_rate': 0.00019316628701594534, 'epoch': 0.14}
{'loss': 0.5374, 'grad_norm': 0.38361746072769165, 'learning_rate': 0.0001927107061503417, 'epoch': 0.15}
{'loss': 0.4862, 'grad_norm': 0.28168755769729614, 'learning_rate': 0.00019225512528473805, 'epoch': 0.16}
{'loss': 0.4934, 'grad_norm': 0.30636587738990784, 'learning_rate': 0.0001917995444191344, 'epoch': 0.16}
{'loss': 0.4694, 'grad_norm': 0.24759577214717865, 'learning_rate': 0.00019134396355353076, 'epoch': 0.17}
{'loss': 0.5256, 'grad_norm': 0.26643919944763184, 'learning_rate': 0.00019088838268792712, 'epoch': 0.18}
{'loss': 0.482, 'grad_norm': 0.35145294666290283, 'learning_rate': 0.00019043280182232347, 'epoch': 0.18}
{'loss': 0.4965, 'grad_norm': 0.27470242977142334, 'learning_rate': 0.00018997722095671983, 'epoch': 0.19}
{'loss': 0.4499, 'grad_norm': 0.2653399109840393, 'learning_rate': 0.00018952164009111618, 'epoch': 0.2}
{'loss': 0.4921, 'grad_norm': 0.24285848438739777, 'learning_rate': 0.00018906605922551254, 'epoch': 0.2}
{'loss': 0.5452, 'grad_norm': 0.2394581139087677, 'learning_rate': 0.0001886104783599089, 'epoch': 0.21}
{'loss': 0.4996, 'grad_norm': 0.28171366453170776, 'learning_rate': 0.00018815489749430525, 'epoch': 0.22}
{'loss': 0.5097, 'grad_norm': 0.27032503485679626, 'learning_rate': 0.0001876993166287016, 'epoch': 0.22}
{'loss': 0.457, 'grad_norm': 0.30690762400627136, 'learning_rate': 0.00018724373576309796, 'epoch': 0.23}
{'loss': 0.447, 'grad_norm': 0.2912067174911499, 'learning_rate': 0.00018678815489749431, 'epoch': 0.24}
{'loss': 0.5104, 'grad_norm': 0.3309391736984253, 'learning_rate': 0.00018633257403189067, 'epoch': 0.24}
{'loss': 0.4575, 'grad_norm': 0.2671367824077606, 'learning_rate': 0.00018587699316628702, 'epoch': 0.25}
{'loss': 0.5165, 'grad_norm': 0.309673935174942, 'learning_rate': 0.00018542141230068338, 'epoch': 0.26}
