[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.7378, 'grad_norm': 1.408614158630371, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.7486, 'grad_norm': 1.4114482402801514, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.7344, 'grad_norm': 1.5032347440719604, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.6128, 'grad_norm': 1.5348862409591675, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.6092, 'grad_norm': 1.7594447135925293, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.3595, 'grad_norm': 1.1977156400680542, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.099, 'grad_norm': 0.41946935653686523, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 1.0569, 'grad_norm': 0.2537010610103607, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 1.0497, 'grad_norm': 0.2512998878955841, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 1.0464, 'grad_norm': 0.2350231111049652, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.9981, 'grad_norm': 0.32427066564559937, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.9896, 'grad_norm': 0.350983202457428, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 1.0039, 'grad_norm': 0.24323821067810059, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 1.019, 'grad_norm': 0.2367687225341797, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.9686, 'grad_norm': 0.16891874372959137, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 1.0777, 'grad_norm': 0.2684617042541504, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 1.0026, 'grad_norm': 0.2356187105178833, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.9947, 'grad_norm': 0.30852097272872925, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.9889, 'grad_norm': 0.27032381296157837, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.9545, 'grad_norm': 0.18709005415439606, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.9246, 'grad_norm': 0.14393800497055054, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.986, 'grad_norm': 0.25300171971321106, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.9417, 'grad_norm': 0.19896681606769562, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.9662, 'grad_norm': 0.16227419674396515, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.9199, 'grad_norm': 0.2626487910747528, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.9428, 'grad_norm': 0.19738884270191193, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.9499, 'grad_norm': 0.23102274537086487, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.9628, 'grad_norm': 0.21902503073215485, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.9306, 'grad_norm': 0.20482489466667175, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.9069, 'grad_norm': 0.14800991117954254, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.9624, 'grad_norm': 0.17810772359371185, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.9581, 'grad_norm': 0.20258167386054993, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.9345, 'grad_norm': 0.15274304151535034, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.9103, 'grad_norm': 0.19310729205608368, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.9551, 'grad_norm': 0.13490071892738342, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.9259, 'grad_norm': 0.13442634046077728, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.959, 'grad_norm': 0.13911357522010803, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.9226, 'grad_norm': 0.15275022387504578, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.9161, 'grad_norm': 0.13898037374019623, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.9659, 'grad_norm': 0.1670350879430771, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.9419, 'grad_norm': 0.12493785470724106, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.8659, 'grad_norm': 0.17834509909152985, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.8935, 'grad_norm': 0.14884644746780396, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.8999, 'grad_norm': 0.12928567826747894, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.9253, 'grad_norm': 0.14696268737316132, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.9379, 'grad_norm': 0.11952054500579834, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.9256, 'grad_norm': 0.11091721802949905, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.9202, 'grad_norm': 0.14523349702358246, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.9144, 'grad_norm': 0.15473386645317078, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.9537, 'grad_norm': 0.14516742527484894, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.9622, 'grad_norm': 0.22147271037101746, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.9435, 'grad_norm': 0.15375517308712006, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.9485, 'grad_norm': 0.14839541912078857, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.9339, 'grad_norm': 0.12788772583007812, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.9285, 'grad_norm': 0.1261713057756424, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.9705, 'grad_norm': 0.15913821756839752, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.9404, 'grad_norm': 0.17776551842689514, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.9642, 'grad_norm': 0.11497478932142258, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.8905, 'grad_norm': 0.14885102212429047, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.9115, 'grad_norm': 0.15687713027000427, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.9417, 'grad_norm': 0.12110522389411926, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.9309, 'grad_norm': 0.1148093119263649, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.9323, 'grad_norm': 0.14095911383628845, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.9217, 'grad_norm': 0.12198305875062943, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.877, 'grad_norm': 0.16754545271396637, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.9428, 'grad_norm': 0.12195934355258942, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.9622, 'grad_norm': 0.2049388587474823, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.9242, 'grad_norm': 0.168938547372818, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.8929, 'grad_norm': 0.18961645662784576, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.9409, 'grad_norm': 0.14779934287071228, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.9243, 'grad_norm': 0.14992909133434296, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.9488, 'grad_norm': 0.16155539453029633, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.9405, 'grad_norm': 0.13122759759426117, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.9378, 'grad_norm': 0.12682192027568817, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.9387, 'grad_norm': 0.16260358691215515, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.944, 'grad_norm': 0.16287164390087128, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.9865, 'grad_norm': 0.10300075262784958, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.9314, 'grad_norm': 0.16555936634540558, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.936, 'grad_norm': 0.1718790978193283, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
