[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                    
{'loss': 1.6091, 'grad_norm': 1.2945975065231323, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.6695, 'grad_norm': 1.38429594039917, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 1.7185, 'grad_norm': 1.3792239427566528, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 1.6471, 'grad_norm': 1.5785037279129028, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 1.5564, 'grad_norm': 1.7504910230636597, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 1.2832, 'grad_norm': 1.2389670610427856, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.0952, 'grad_norm': 0.37027478218078613, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 1.0547, 'grad_norm': 0.23087605834007263, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.997, 'grad_norm': 0.2740806043148041, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.9747, 'grad_norm': 0.28204935789108276, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 1.0382, 'grad_norm': 0.3386656939983368, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 1.0263, 'grad_norm': 0.24817879498004913, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.9896, 'grad_norm': 0.20769231021404266, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.999, 'grad_norm': 0.18466918170452118, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.9581, 'grad_norm': 0.2806752324104309, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.9769, 'grad_norm': 0.1942927986383438, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.9021, 'grad_norm': 0.21776501834392548, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.9457, 'grad_norm': 0.2546709179878235, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.9741, 'grad_norm': 0.26209262013435364, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.9536, 'grad_norm': 0.2645239233970642, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.9425, 'grad_norm': 0.16861316561698914, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.934, 'grad_norm': 0.20214608311653137, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
{'loss': 0.934, 'grad_norm': 0.19191952049732208, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.9617, 'grad_norm': 0.1919042319059372, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.9723, 'grad_norm': 0.21474996209144592, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.8907, 'grad_norm': 0.1752411425113678, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.9199, 'grad_norm': 0.1785261034965515, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.9843, 'grad_norm': 0.14408031105995178, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.9598, 'grad_norm': 0.1510487198829651, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.8856, 'grad_norm': 0.2429753839969635, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.8928, 'grad_norm': 0.15741196274757385, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.8703, 'grad_norm': 0.14620912075042725, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.982, 'grad_norm': 0.15142971277236938, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.8854, 'grad_norm': 0.13071049749851227, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.9502, 'grad_norm': 0.16305772960186005, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.9464, 'grad_norm': 0.20205657184123993, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.8532, 'grad_norm': 0.12034717947244644, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.8772, 'grad_norm': 0.13257603347301483, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.9398, 'grad_norm': 0.15905697643756866, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.9179, 'grad_norm': 0.13521425426006317, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.9595, 'grad_norm': 0.14907103776931763, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.9195, 'grad_norm': 0.14372918009757996, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.8992, 'grad_norm': 0.13087382912635803, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.9073, 'grad_norm': 0.13442803919315338, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.9052, 'grad_norm': 0.1186668798327446, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.9415, 'grad_norm': 0.19063903391361237, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.9627, 'grad_norm': 0.14951558411121368, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.916, 'grad_norm': 0.16860786080360413, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.9068, 'grad_norm': 0.12115491181612015, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.8733, 'grad_norm': 0.15542180836200714, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.9756, 'grad_norm': 0.29537150263786316, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.9426, 'grad_norm': 0.11927633732557297, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.8437, 'grad_norm': 0.13388705253601074, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.8658, 'grad_norm': 0.11591022461652756, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.9382, 'grad_norm': 0.2195766568183899, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.904, 'grad_norm': 0.17914067208766937, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.9088, 'grad_norm': 0.1476893424987793, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.9039, 'grad_norm': 0.14768123626708984, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.8872, 'grad_norm': 0.15705661475658417, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.9212, 'grad_norm': 0.1913311928510666, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.9361, 'grad_norm': 0.16455450654029846, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.9217, 'grad_norm': 0.13083434104919434, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.8508, 'grad_norm': 0.17322459816932678, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.9006, 'grad_norm': 0.12270275503396988, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
